street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_0.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_0.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_0.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_0.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_0.5_values
411 - 188 cumberland st,annex,43.669828,-79.394109,689000,1,1.0,point (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,155,1,125,2,175,104,0,9,0,0,0,0
604 - 188 cumberland st,annex,43.669828,-79.394109,1200000,3,2.0,point (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,155,1,125,2,175,104,0,9,0,0,0,0
818 - 1 bedford rd,annex,43.668551,-79.397124,878000,2,1.0,point (-79.397124 43.668551),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,158,2,122,4,237,111,0,7,0,0,0,0
1918 - 155 yorkville ave,annex,43.670312,-79.394299,959000,2,2.0,point (-79.394299 43.670312),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,154,1,125,2,170,101,0,8,0,0,0,0
2402 - 10 bellair st,annex,43.669886,-79.390982,9888000,3,3.0,point (-79.390982 43.669886),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,157,4,133,3,177,119,0,26,0,0,0,1
51 harrison garden blvd #707,avondale,43.756666,-79.407784,498800,2,2.0,point (-79.407784 43.756666),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,77,0,33,18,0,5,0,0,0,0
120 harrison garden blvd #2003,avondale,43.757733,-79.403149,788000,2,2.0,point (-79.403149 43.757733),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,0,80,0,32,13,0,0,0,0,0,0
100 harrison garden blvd #l02,avondale,43.756982,-79.4044,599900,1,1.0,point (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,0,86,0,32,14,0,0,0,0,0,0
78 harrison garden blvd #2305,avondale,43.756049,-79.407113,978000,3,3.0,point (-79.407113 43.756049),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,77,0,31,14,0,2,0,0,0,0
3 everson dr #637,avondale,43.756938,-79.406496,659000,3,2.0,point (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,78,0,33,16,0,2,0,0,0,0
33 sheppard ave e #1800,avondale,43.761229,-79.408934,575000,1,1.0,point (-79.408934 43.761229),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,1,5,5,68,0,47,19,0,25,0,0,0,0
3 everson dr #528,avondale,43.756938,-79.406496,559000,1,1.0,point (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,78,0,33,16,0,2,0,0,0,0
511 - 3 everson dr,avondale,43.756938,-79.406496,729000,3,2.0,point (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,78,0,33,16,0,2,0,0,0,0
1803 - 100 harrison garden blvd,avondale,43.756982,-79.4044,799000,3,2.0,point (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,0,86,0,32,14,0,0,0,0,0,0
227 glendora ave,avondale,43.762254,-79.394945,1499000,4,2.0,point (-79.394945 43.762254),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,5,1,73,0,11,5,0,3,0,0,0,0
637 - 3 everson dr,avondale,43.756938,-79.406496,649900,3,2.0,point (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,0,0,3,1,78,0,33,16,0,2,0,0,0,0
160 the donway w #403,banbury-don mills,43.73383,-79.34844,424900,2,1.0,point (-79.34844 43.73383),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,6,1,74,1,20,7,0,4,0,0,0,1
34 greengate rd,banbury-don mills,43.739958,-79.364228,7785000,7,7.0,point (-79.364228 43.739958),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,5,0,42,0,1,1,0,0,0,0,0,0
20 moccasin trl,banbury-don mills,43.731688,-79.339069,1498800,4,2.0,point (-79.339069 43.731688),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,5,0,70,0,18,7,0,0,0,0,0,0
9 overton pl,banbury-don mills,43.741095,-79.345984,1850000,4,4.0,point (-79.345984 43.741095),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,11,0,66,0,16,7,0,0,0,0,0,0
7 merredin pl,banbury-don mills,43.748513,-79.35726,3880000,6,6.0,point (-79.35726 43.748513),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,7,0,58,0,27,6,0,0,0,0,0,0
75 the donway w #805,banbury-don mills,43.732752,-79.345652,499000,0,1.0,point (-79.345652 43.732752),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,6,2,70,1,20,7,0,8,0,0,0,1
97 post rd,banbury-don mills,43.738724,-79.367822,8888000,7,10.0,point (-79.367822 43.738724),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,9,0,35,0,1,1,0,0,0,0,0,0
3007 - 181 wynford dr,banbury-don mills,43.725064,-79.328704,759900,3,2.0,point (-79.328704 43.725064),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,3,0,64,0,8,1,0,0,0,0,0,0
504 - 1103 leslie street,banbury-don mills,43.720267,-79.347933,795000,3,2.0,point (-79.347933 43.720267),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,1,0,61,0,10,1,0,0,0,0,0,0
162 abbeywood tr,banbury-don mills,43.749649,-79.363305,2680000,4,4.0,point (-79.363305 43.749649),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,9,0,50,0,15,5,0,0,0,0,0,0
521 - 255 the donway w,banbury-don mills,43.739826,-79.346034,729000,2,2.0,point (-79.346034 43.739826),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,10,1,70,0,16,7,0,0,0,0,0,0
104 - 225 the donway w,banbury-don mills,43.733391,-79.347625,1435000,2,3.0,point (-79.347625 43.733391),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,6,2,73,1,20,7,0,8,0,0,0,1
903 - 1103 leslie st,banbury-don mills,43.720267,-79.347933,698000,2,2.0,point (-79.347933 43.720267),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,1,0,61,0,10,1,0,0,0,0,0,0
623 - 120 dallimore circ,banbury-don mills,43.730082,-79.332265,489000,1,1.0,point (-79.332265 43.730082),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,3,0,61,0,14,4,0,0,0,0,0,0
5 terrington crt,banbury-don mills,43.741986,-79.358048,1858000,4,1.0,point (-79.358048 43.741986),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,0,0,9,0,58,0,14,3,0,0,0,0,0,0
270 brighton ave,bathurst manor,43.757593,-79.458141,1898000,5,3.0,point (-79.458141 43.757593),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,0,86,0,7,3,0,0,0,0,0,0
333 brighton ave,bathurst manor,43.756128,-79.462889,3438000,6,7.0,point (-79.462889 43.756128),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,5,0,83,0,11,5,0,4,0,0,0,0
212 cocksfield ave,bathurst manor,43.753818,-79.454186,999000,4,2.0,point (-79.454186 43.753818),1293,259,409,82,548,110,336,67,2615,5430,1890,1510,995,570,2750,6200,1895,1310,435,445,0,0,6,0,75,0,9,3,0,4,0,0,0,0
