,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
367,106 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
368,104 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
369,l03 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
370,207 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
371,807 518 moberly road,49.267868,-123.116872,fairview,Moderate Class,Minor Crime
372,204 1205 w 14th avenue,49.259071,-123.131812,fairview,Moderate Class,Minor Crime
373,103 1266 w 13th avenue,49.259468,-123.133006,fairview,Moderate Class,Minor Crime
374,103 835 w 7th avenue,49.265292,-123.122807,fairview,Moderate Class,Minor Crime
375,901 1650 w 7th avenue,49.265153,-123.142063,fairview,Moderate Class,Minor Crime
376,108 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
377,33 1425 lamey's mill road,49.268443,-123.135844,fairview,Moderate Class,Minor Crime
378,201 874 w 6th avenue,49.265695,-123.123456,fairview,Moderate Class,Minor Crime
379,502 1616 w 13th avenue,49.259605,-123.141727,fairview,Moderate Class,Minor Crime
380,207 1210 w 8th avenue,49.264145,-123.132201,fairview,Moderate Class,Minor Crime
381,1735 w 16 avenue,49.25741,-123.144543,fairview,Moderate Class,Minor Crime
382,1611 e 3rd ave #107,49.268053,-123.071359,grandview woodland,Low Class,Severe Crime
383,2305 turner st,49.279356,-123.057661,grandview woodland,Low Class,Severe Crime
384,1422 parker st,49.275574,-123.075255,grandview woodland,Low Class,Severe Crime
385,1618 grant st,49.271659,-123.071011,grandview woodland,Low Class,Severe Crime
386,2272 dundas st #105,49.284558,-123.058355,grandview woodland,Low Class,Severe Crime
387,2172 wall st,49.287898,-123.060013,grandview woodland,Low Class,Severe Crime
388,2282 e 8th ave #3,49.262927,-123.05849,grandview woodland,Low Class,Severe Crime
389,1375 graveley st,49.270826,-123.075628,grandview woodland,Low Class,Severe Crime
390,2275 e pender st,49.280518,-123.058328,grandview woodland,Low Class,Severe Crime
391,2210 willow st,49.288756,-123.060169,grandview woodland,Low Class,Severe Crime
392,1919 e 3rd ave,49.268014,-123.065301,grandview woodland,Low Class,Severe Crime
393,1330 graveley st #302,49.270304,-123.076584,grandview woodland,Low Class,Severe Crime
394,1430 e 8th ave,49.263092,-123.074519,grandview woodland,Low Class,Severe Crime
395,16 lakewood dr #305,49.284536,-123.061412,grandview woodland,Low Class,Severe Crime
396,1615 frances st #201,49.27965,-123.071845,grandview woodland,Low Class,Severe Crime
397,2248 e 3rd ave,49.267491,-123.058959,grandview woodland,Low Class,Severe Crime
398,1625 e 8th ave,49.263461,-123.07134,grandview woodland,Low Class,Severe Crime
