Neighbourhood,Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
annex,1107,2402 - 10 Bellair St,,43.669886,-79.390982,,9888000,3,3,,0,2,23,4,21,3,42,24,0,26,0,0,0,0,1,1,5,62,10,75,11,107,63,0,70,0,0,0,0,2,8,8,157,18,133,23,177,119,0,141,0,0,0,0,3,POINT (-79.390982 43.669886),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
avondale,22,51 Harrison Garden Blvd #707,M2N7G4,43.756666,-79.407784,North York,498800,2 bds,2 ba,,0,0,0,1,8,0,6,2,0,5,0,0,0,0,0,0,1,0,5,37,0,18,9,0,27,0,0,0,0,0,0,3,3,8,77,0,33,18,0,40,0,0,0,0,1,POINT (-79.407784 43.756666),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,51,120 Harrison Garden Blvd #2003,M2N,43.757733,-79.403149,North York,788000,2 bds,2 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,39,0,16,9,0,18,0,0,0,0,0,0,1,3,7,80,0,32,13,0,37,0,0,0,0,1,POINT (-79.403149 43.757733),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,94,100 Harrison Garden Blvd #L02,M2N0C2,43.756982,-79.4044,North York,599900,1 bd,1 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,40,0,17,10,0,26,0,0,0,0,0,0,2,3,7,86,0,32,14,0,38,0,0,0,0,1,POINT (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,174,78 Harrison Garden Blvd #2305,M2N7E2,43.756049,-79.407113,North York,978000,3 bds,3 ba,,0,0,0,1,11,0,4,1,0,2,0,0,0,0,0,0,1,0,5,39,0,18,9,0,25,0,0,0,0,0,0,2,3,7,77,0,31,14,0,36,0,0,0,0,1,POINT (-79.407113 43.756049),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,447,3 Everson Dr #637,M2N7C2,43.756938,-79.406496,North York,659000,3 bds,2 ba,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,473,33 Sheppard Ave E #1800,M2N7K1,43.761229,-79.408934,North York,575000,1 bd,1 ba,,0,1,0,5,19,0,18,9,0,25,0,0,0,0,0,0,2,2,7,35,0,24,14,0,33,0,0,0,0,1,0,2,5,8,68,0,47,19,1,39,0,0,0,0,1,POINT (-79.408934 43.761229),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,667,3 Everson Dr #528,M2N7C2,43.756938,-79.406496,North York,559000,1 bd,1 ba,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,788,511 - 3 Everson Dr,,43.756938,-79.406496,,729000,3,2,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,987,1803 - 100 Harrison Garden Blvd,,43.756982,-79.4044,,799000,3,2,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,5,40,0,17,10,0,26,0,0,0,0,0,0,2,3,7,86,0,32,14,0,38,0,0,0,0,1,POINT (-79.4044 43.756982),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,1054,227 Glendora Ave,,43.762254,-79.394945,,1499000,4,2,,0,0,0,1,3,0,4,0,0,3,0,0,0,0,0,0,1,3,1,35,0,9,1,0,4,0,0,0,0,0,0,1,5,2,73,0,11,5,0,8,0,0,0,0,0,POINT (-79.394945 43.762254),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
avondale,1125,637 - 3 Everson Dr,,43.756938,-79.406496,,649900,3,2,,0,0,0,1,9,0,4,1,0,2,0,0,0,0,0,0,1,0,5,37,0,16,9,0,25,0,0,0,0,0,0,3,3,8,78,0,33,16,0,39,0,0,0,0,1,POINT (-79.406496 43.756938),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485
banbury-don mills,32,160 The Donway W #403,M3C2G1,43.73383,-79.34844,North York,424900,2 bds,1 ba,,0,0,1,1,14,1,8,3,0,4,0,0,0,0,1,0,0,4,2,52,1,11,7,0,8,0,0,0,0,1,0,0,6,3,74,1,20,7,0,8,0,0,0,0,1,POINT (-79.34844 43.73383),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,86,34 Greengate Rd,M3B1E8,43.739958,-79.364228,North York,7785000,7 bds,7 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,5,0,42,0,1,1,0,0,0,0,0,0,0,POINT (-79.364228 43.739958),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,244,20 Moccasin Trl,M3C1Y7,43.731688,-79.339069,North York,1498800,4bds,3ba,,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,37,1,16,6,0,7,0,0,0,0,0,0,0,5,3,70,1,18,7,0,9,0,0,0,0,1,POINT (-79.339069 43.731688),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,285,9 Overton Pl,M3B1H1,43.741095,-79.345984,North York,1850000,4 bds,4 ba,,0,0,2,0,11,0,1,0,0,0,0,0,0,0,0,0,0,4,2,38,1,15,6,0,13,0,0,0,0,1,0,0,11,3,66,1,16,7,0,13,0,0,0,0,1,POINT (-79.345984 43.741095),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,411,7 Merredin Pl,M3B1S7,43.748513,-79.35726,North York,3880000,6 bds,6 ba,,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,20,1,14,5,0,13,0,0,0,0,2,0,0,7,2,58,2,27,6,0,20,0,0,0,0,2,POINT (-79.35726 43.748513),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,599,75 The Donway W #805,M3C2E9,43.732752,-79.345652,North York,499000,Studio,1 ba,,0,0,1,2,15,1,11,6,0,8,0,0,0,0,1,0,0,5,3,45,1,16,6,0,8,0,0,0,0,1,0,0,6,3,70,1,20,7,0,8,0,0,0,0,1,POINT (-79.345652 43.732752),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,627,97 Post Rd,M3B1J3,43.738724,-79.367822,North York,8888000,7 bds,10 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,0,1,1,0,0,0,0,0,0,0,POINT (-79.367822 43.738724),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
banbury-don mills,736,3007 - 181 Wynford Dr,,43.725064,-79.328704,,759900,3,2,,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,2,1,0,1,0,0,0,0,0,0,0,3,1,64,0,8,1,0,4,0,0,0,0,1,POINT (-79.328704 43.725064),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730
