Neighbourhood,Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
morningside,850,114 - 371 Orton Park Rd,,43.779744,-79.215376,,699000,3,2,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,11,1,35,0,2,5,0,6,0,0,0,0,1,POINT (-79.215376 43.779744),960,192,456,91,285,57,219,44,3230,6465,2135,1340,560,120,3290,7300,2040,990,160,80
morningside,856,6 Neelands Cres,,43.792673,-79.205176,,990000,4,3,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,28,0,1,0,0,3,0,0,0,0,0,1,0,5,2,54,0,1,5,0,8,0,0,0,0,0,POINT (-79.205176 43.792673),960,192,456,91,285,57,219,44,3230,6465,2135,1340,560,120,3290,7300,2040,990,160,80
morningside,1057,1102 - 100 Mornelle Crt,,43.78722,-79.194677,,649000,5,3,,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,1,0,0,1,9,0,1,10,0,16,0,0,0,0,1,POINT (-79.194677 43.78722),960,192,456,91,285,57,219,44,3230,6465,2135,1340,560,120,3290,7300,2040,990,160,80
morningside heights,142,111 Knowles Dr,M1X1T4,43.825488,-79.213639,Scarborough,1179000,4 bds,3 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,4,2,41,0,0,0,0,0,0,0,0,0,0,POINT (-79.213639 43.825488),1592,318,539,108,717,143,336,67,4930,8830,2945,2000,850,180,5060,9930,2945,1435,290,100
morningside heights,315,130 Morningview Trl,M1B5L2,43.815394,-79.199609,Scarborough,1349000,6 bds,4 ba,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,2,38,0,0,0,0,0,0,0,0,0,0,POINT (-79.199609 43.815394),1592,318,539,108,717,143,336,67,4930,8830,2945,2000,850,180,5060,9930,2945,1435,290,100
morningside heights,790,4 Muskox Drive,,43.81036,-79.18447,,1410000,4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-79.18447 43.81036),1592,318,539,108,717,143,336,67,4930,8830,2945,2000,850,180,5060,9930,2945,1435,290,100
morningside heights,1139,8 Grackle Tr,,43.828934,-79.23303,,1099900,3,3,,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,POINT (-79.23303 43.828934),1592,318,539,108,717,143,336,67,4930,8830,2945,2000,850,180,5060,9930,2945,1435,290,100
moss park,40,333 Adelaide St E #410,M5A4T4,43.651843,-79.369052,Downtown Toronto,599000,1 bd,1 ba,,0,0,4,4,21,4,22,14,0,22,0,0,0,0,0,0,0,6,10,68,16,96,49,0,58,0,0,0,0,5,0,5,39,21,129,30,189,119,0,170,0,0,0,0,9,POINT (-79.369052 43.651843),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,99,120 Parliament St PENTHOUSE 2404,M5A0N6,43.653856,-79.363933,Downtown Toronto,1069000,3 bds,2 ba,,0,0,1,3,18,1,8,7,0,7,0,0,0,0,0,0,0,9,7,57,5,43,30,0,31,0,0,0,0,0,0,0,11,13,98,16,123,62,0,57,0,0,0,0,3,POINT (-79.363933 43.653856),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,356,181 Dundas St E UNIT 3811,M5A0N5,43.656969,-79.374122,Downtown Toronto,699000,2 bds,1 ba,,0,0,17,3,8,1,13,8,0,16,0,0,0,0,0,0,3,45,14,48,19,143,76,0,140,0,0,0,0,7,1,6,54,35,152,36,305,157,0,270,0,0,0,0,13,POINT (-79.374122 43.656969),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,466,130 Shuter St,M5A1V8,43.655956,-79.371864,Downtown Toronto,1199000,6 bds,4 ba,,0,0,3,0,11,1,12,9,0,10,0,0,0,0,0,0,1,37,16,61,17,129,62,0,99,0,0,0,0,5,0,5,53,33,149,34,265,144,0,241,0,0,0,0,13,POINT (-79.371864 43.655956),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,467,408 Ontario St,M5A2W1,43.662083,-79.370042,Downtown Toronto,2288800,5 bds,5 ba,,0,0,3,2,15,1,30,8,0,5,0,0,0,0,0,0,0,21,15,45,3,59,24,0,25,0,0,0,0,0,1,5,57,27,104,17,173,85,0,149,0,0,0,0,3,POINT (-79.370042 43.662083),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,641,460 Adelaide St E #820,M5A0E7,43.652787,-79.3668,Downtown Toronto,675000,1 bd,2 ba,,0,0,4,3,28,2,14,8,0,16,0,0,0,0,0,0,0,9,8,68,10,72,40,0,38,0,0,0,0,1,0,2,34,19,113,26,153,86,0,104,0,0,0,0,7,POINT (-79.3668 43.652787),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,743,818 - 323 Richmond St E,,43.653384,-79.368447,,899000,2,2,,0,0,4,3,13,3,14,12,0,16,0,0,0,0,0,0,0,7,8,64,13,89,41,0,51,0,0,0,0,3,0,3,46,21,131,27,184,110,0,164,0,0,0,0,8,POINT (-79.368447 43.653384),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,767,1220 - 460 Adelaide Street E,,43.652787,-79.3668,,499900,1,1,,0,0,4,3,28,2,14,8,0,16,0,0,0,0,0,0,0,9,8,68,10,72,40,0,38,0,0,0,0,1,0,2,34,19,113,26,153,86,0,104,0,0,0,0,7,POINT (-79.3668 43.652787),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,771,Ph120 - 460 Adelaide St E,,43.652787,-79.3668,,1038888,3,2,,0,0,4,3,28,2,14,8,0,16,0,0,0,0,0,0,0,9,8,68,10,72,40,0,38,0,0,0,0,1,0,2,34,19,113,26,153,86,0,104,0,0,0,0,7,POINT (-79.3668 43.652787),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,797,708 - 168 King St E,,43.650812,-79.371199,,695000,2,2,,0,0,4,4,24,9,47,20,0,19,0,0,0,0,1,0,2,7,11,81,21,103,61,0,92,0,0,0,0,7,0,5,44,24,132,32,218,146,0,249,0,0,0,0,12,POINT (-79.371199 43.650812),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,838,Th1 - 220 George St,,43.655797,-79.373035,,1500000,3,3,,0,0,1,1,10,1,16,9,0,15,0,0,0,0,0,0,3,41,16,61,22,139,78,0,134,0,0,0,0,6,1,6,52,33,154,34,289,157,0,262,0,0,0,0,13,POINT (-79.373035 43.655797),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,904,4005 - 319 Jarvis St,,43.659814,-79.375308,,735000,1,1,,0,0,24,5,10,1,15,12,0,15,0,0,0,0,0,1,3,45,15,52,14,126,65,0,135,0,0,0,0,3,3,6,57,35,147,38,321,160,0,273,0,0,0,0,12,POINT (-79.375308 43.659814),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,910,221 - 251 Jarvis St,,43.657325,-79.374332,,488000,1,1,,0,0,19,3,8,1,14,7,0,16,0,0,0,0,0,0,2,46,13,47,20,142,75,0,139,0,0,0,0,7,1,6,54,34,152,36,306,158,0,272,0,0,0,0,13,POINT (-79.374332 43.657325),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,946,928 - 251 Jarvis Street,,43.657325,-79.374332,,589900,2,1,,0,0,19,3,8,1,14,7,0,16,0,0,0,0,0,0,2,46,13,47,20,142,75,0,139,0,0,0,0,7,1,6,54,34,152,36,306,158,0,272,0,0,0,0,13,POINT (-79.374332 43.657325),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,953,2114 - 158 Front Street,,43.650304,-79.368781,,528000,1,1,,0,0,4,4,22,4,25,15,0,22,0,0,0,0,1,0,0,6,9,72,16,89,45,0,52,0,0,0,0,5,0,4,35,18,122,30,177,108,0,154,0,0,0,0,9,POINT (-79.368781 43.650304),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,973,1310 - 55 Ontario St,,43.6535,-79.366255,,565000,1,1,,0,0,3,4,30,2,13,10,0,15,0,0,0,0,0,0,0,9,8,66,7,59,36,0,37,0,0,0,0,1,0,2,33,18,110,26,147,78,0,84,0,0,0,0,6,POINT (-79.366255 43.6535),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,1023,1010 - 255 Richmond St,,43.652903,-79.370349,,589000,1,1,,0,0,5,4,13,4,20,12,0,14,0,0,0,0,0,0,1,15,11,74,19,100,53,0,71,0,0,0,0,5,0,5,49,24,138,32,219,132,0,204,0,0,0,0,12,POINT (-79.370349 43.652903),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
moss park,1119,102 Seaton St,,43.657219,-79.369156,,1899900,4,4,,0,0,2,3,12,1,11,4,0,9,0,0,0,0,0,0,0,19,13,55,6,78,37,0,46,0,0,0,0,0,0,3,54,24,132,29,207,112,0,168,0,0,0,0,10,POINT (-79.369156 43.657219),5073,1015,2996,599,1360,272,717,143,3910,6825,2325,2685,2065,1455,4025,7680,2820,2675,1000,1060
mount dennis,219,85 Emmett Ave #1012,M6M5A2,43.686963,-79.50605,York,499999,4 bds,2 ba,,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,8,0,3,0,43,0,1,2,0,1,0,0,0,0,0,8,0,4,1,80,0,6,4,1,8,0,0,0,0,1,POINT (-79.50605 43.686963),1052,210,513,103,345,69,194,39,2450,5110,1580,890,325,40,2530,5640,1515,600,90,25
mount dennis,1144,16 - 150 Pinery Tr,,43.691734,-79.506841,,699900,3,2,,7,0,2,0,10,0,0,0,0,0,0,0,0,0,0,8,0,3,1,43,0,3,2,0,7,0,0,0,0,1,8,1,9,1,87,0,17,7,0,19,0,0,0,0,1,POINT (-79.506841 43.691734),1052,210,513,103,345,69,194,39,2450,5110,1580,890,325,40,2530,5640,1515,600,90,25
mount olive-silverstone-jamestown,35,41 Markbrook Ln #614,M9V5E6,43.75828,-79.58639,Etobicoke,554999,1 bd,2 ba,776 sqft,0,0,0,1,10,0,1,0,0,1,0,0,0,0,0,0,0,2,1,17,0,3,0,0,2,0,0,0,0,1,0,0,11,1,34,0,3,1,0,2,0,0,0,0,1,POINT (-79.58639 43.75828),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,309,5 Wray Ct,M9V4K4,43.755083,-79.593103,Etobicoke,799990,4 bds,3 ba,,0,0,2,1,3,0,1,0,0,1,0,0,0,0,0,0,0,7,1,30,0,2,0,0,3,0,0,0,0,0,0,0,10,1,43,0,5,1,0,9,0,0,0,0,1,POINT (-79.593103 43.755083),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,336,24 Masseygrove Cres,M9V3C9,43.736326,-79.584228,Etobicoke,899999,6 bds,3 ba,,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,1,50,0,4,2,0,18,0,0,0,0,1,0,0,14,1,89,0,4,3,0,21,0,0,0,0,1,POINT (-79.584228 43.736326),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,394,2901 Kipling Ave #907,M9V5E5,43.758185,-79.588513,Etobicoke,549000,2 bds,2 ba,,0,0,0,1,10,0,1,0,0,1,0,0,0,0,0,0,0,1,1,21,0,3,0,0,2,0,0,0,0,1,0,0,10,1,35,0,4,0,0,4,0,0,0,0,1,POINT (-79.588513 43.758185),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,488,58 Masseygrove Cres,M9V3C9,43.737847,-79.58269,Etobicoke,799000,4 bds,2 ba,,0,0,1,0,9,0,1,2,0,8,0,0,0,0,1,0,0,6,1,42,0,4,2,0,18,0,0,0,0,1,0,0,13,1,85,0,6,3,0,22,0,0,0,0,2,POINT (-79.58269 43.737847),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,590,62 Kay Dr,M9V4X7,43.757867,-79.592178,Etobicoke,999000,4 bds,3 ba,,0,0,0,1,11,0,1,0,0,1,0,0,0,0,0,0,0,7,1,21,0,1,0,0,1,0,0,0,0,0,0,0,11,1,33,0,4,0,0,4,0,0,0,0,1,POINT (-79.592178 43.757867),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,643,21 Markbrook Ln #407,M9V5E4,43.758626,-79.587586,Etobicoke,569999,2 bds,2 ba,,0,0,0,1,10,0,1,0,0,1,0,0,0,0,0,0,0,2,1,17,0,3,0,0,2,0,0,0,0,1,0,0,10,1,32,0,3,1,0,2,0,0,0,0,1,POINT (-79.587586 43.758626),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,647,61 Markbrook Ln #509,M9V5E7,43.759225,-79.585149,Etobicoke,549000,2 bds,2 ba,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17,0,3,0,0,2,0,0,0,0,1,0,0,5,1,37,1,3,1,0,3,0,0,0,0,1,POINT (-79.585149 43.759225),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,841,1109 - 2645 Kipling Ave W,,43.746807,-79.583798,,479900,2,2,,0,0,3,0,10,0,2,0,0,1,0,0,0,0,1,0,0,6,0,27,0,5,2,0,17,0,0,0,0,2,0,0,15,1,57,0,6,3,0,19,0,0,0,0,2,POINT (-79.583798 43.746807),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount olive-silverstone-jamestown,1105,49 Orpington Cres,,43.73693,-79.586988,,849000,5,2,,0,0,2,1,6,0,1,0,0,2,0,0,0,0,0,0,0,7,1,59,0,4,3,0,19,0,0,0,0,1,0,0,12,1,91,0,4,3,0,21,0,0,0,0,1,POINT (-79.586988 43.73693),2232,446,1048,210,754,151,430,86,6910,11755,3310,1525,415,80,7085,12915,2845,975,105,70
mount pleasant east,588,63 Cleveland St,M4S2W3,43.701838,-79.37765,Central Toronto,949999,2 bds,2 ba,,0,0,1,0,9,0,10,2,0,3,0,0,0,0,0,0,0,5,0,29,0,21,5,0,6,0,0,0,0,0,0,0,10,1,84,1,46,13,1,12,0,0,0,0,1,POINT (-79.37765 43.701838),1049,210,359,72,461,92,229,46,2285,3555,1535,1720,1700,2260,2430,4050,1760,2080,890,1855
mount pleasant east,712,478 Merton St,,43.699434,-79.38152,,1399000,3,2,,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,41,1,32,5,0,5,0,0,0,0,1,0,0,9,2,75,2,47,14,1,15,0,0,0,0,2,POINT (-79.38152 43.699434),1049,210,359,72,461,92,229,46,2285,3555,1535,1720,1700,2260,2430,4050,1760,2080,890,1855
mount pleasant east,853,31 Taunton Rd,,43.70712,-79.38803,,1100000,3,2,,0,0,2,2,13,1,16,7,1,8,0,0,0,0,2,0,0,5,4,46,4,33,13,3,18,0,0,0,0,2,0,2,11,12,108,12,106,38,3,66,0,0,0,0,6,POINT (-79.38803 43.70712),1049,210,359,72,461,92,229,46,2285,3555,1535,1720,1700,2260,2430,4050,1760,2080,890,1855
mount pleasant east,916,1006 Mount Pleasant Rd,,43.714199,-79.392613,,999000,3,1,,0,0,0,0,12,0,1,1,1,0,0,0,0,0,0,0,0,7,8,42,7,44,21,2,34,0,0,0,0,2,0,1,8,10,94,7,80,32,3,56,0,0,0,0,5,POINT (-79.392613 43.714199),1049,210,359,72,461,92,229,46,2285,3555,1535,1720,1700,2260,2430,4050,1760,2080,890,1855
new toronto,97,86 17th St,M8V3K4,43.602095,-79.517563,Etobicoke,999999,4 bds,4 ba,,0,0,5,0,8,0,1,2,0,3,0,0,0,0,0,0,0,25,0,24,2,8,7,0,12,0,0,0,0,1,0,0,26,0,44,2,18,8,0,22,0,0,0,0,2,POINT (-79.517563 43.602095),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,241,1 Lake Shore Dr,M8V1Y9,43.601114,-79.497504,Etobicoke,4250000,4bds,4ba,,0,0,1,0,1,0,4,0,0,6,0,0,0,0,0,0,0,3,1,7,0,11,2,0,11,0,0,0,0,1,0,0,7,1,20,1,17,2,0,14,0,0,0,0,1,POINT (-79.497504 43.601114),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,437,104 3rd St,M8V2X9,43.60352,-79.501782,Etobicoke,899900,3 bds,2 ba,,0,0,3,1,2,0,8,2,0,9,0,0,0,0,1,0,0,4,1,16,0,16,2,0,12,0,0,0,0,1,0,0,7,1,25,1,19,3,0,14,0,0,0,0,2,POINT (-79.501782 43.60352),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,510,35 Emerald Cres,M8V2B3,43.59614,-79.502746,Etobicoke,2499000,5 bds,6 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,1,17,2,0,12,0,0,0,0,1,0,0,16,1,19,1,18,4,0,12,0,0,0,0,2,POINT (-79.502746 43.59614),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,571,115 10th St,M8V3E9,43.599655,-79.508115,Etobicoke,1499000,9 bds,7 ba,,0,0,2,0,11,1,10,1,0,5,0,0,0,0,1,0,0,15,1,19,1,17,4,0,9,0,0,0,0,2,0,0,26,1,29,1,19,6,0,17,0,0,0,0,2,POINT (-79.508115 43.599655),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,671,111 3rd St,M8V2Y1,43.603827,-79.501393,Etobicoke,999988,3 bds,2 ba,,0,0,2,1,1,0,8,2,0,8,0,0,0,0,0,0,0,4,1,16,0,16,2,0,13,0,0,0,0,1,0,0,7,1,26,1,19,3,0,14,0,0,0,0,2,POINT (-79.501393 43.603827),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,702,49 - 5 William Jackson Way,,43.600769,-79.512121,,695000,2,2,,0,0,3,0,5,1,4,1,0,1,0,0,0,0,1,0,0,20,0,26,1,15,5,0,9,0,0,0,0,2,0,0,28,1,38,2,22,9,0,24,0,0,0,0,2,POINT (-79.512121 43.600769),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
new toronto,742,51 - 5 William Jackson Way,,43.600769,-79.512121,,806000,2,2,,0,0,3,0,5,1,4,1,0,1,0,0,0,0,1,0,0,20,0,26,1,15,5,0,9,0,0,0,0,2,0,0,28,1,38,2,22,9,0,24,0,0,0,0,2,POINT (-79.512121 43.600769),1187,237,644,129,348,70,195,39,1920,3985,1205,1145,725,340,1980,4375,1425,1050,270,230
newtonbrook east,24,5765 Yonge St #1204,M2M4H9,43.783102,-79.415166,North York,598800,3 bds,2 ba,,0,1,0,1,41,1,11,7,0,9,0,0,0,0,1,0,1,5,1,81,1,65,19,0,14,0,0,0,0,2,0,1,10,2,123,1,85,25,1,17,0,0,0,0,2,POINT (-79.415166 43.783102),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,79,111 Newton Dr,M2M2N2,43.794606,-79.410102,North York,2268000,7 bds,4 ba,,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,45,0,2,3,0,3,0,0,0,0,1,0,0,6,3,121,0,28,14,0,22,0,0,0,0,1,POINT (-79.410102 43.794606),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,130,3 Pemberton Ave #2106,M2M4M1,43.780486,-79.413866,North York,559000,1 bd,1 ba,,0,1,2,1,39,1,39,15,0,10,0,0,0,0,1,0,1,6,1,76,1,66,18,0,13,0,0,0,0,1,0,2,10,3,108,1,82,29,1,21,0,0,0,0,2,POINT (-79.413866 43.780486),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,254,10 Greenyards Dr,M2M2R6,43.79625,-79.40879,North York,1799000,5bds,3ba,,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6,3,101,0,26,11,0,9,0,0,0,0,1,POINT (-79.40879 43.79625),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,465,5791 Yonge St #PENTHOUSE 205,M2M0A8,43.783997,-79.41604,North York,650000,3 bds,2 ba,,0,1,0,0,47,1,9,6,0,6,0,0,0,0,0,0,1,6,2,83,1,59,19,0,13,0,0,0,0,2,0,1,9,2,123,1,85,27,0,18,0,0,0,0,2,POINT (-79.41604 43.783997),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,551,926 Willowdale Ave,M2M3C1,43.785882,-79.409553,North York,1529000,6 bds,2 ba,,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2,0,78,1,10,7,0,8,0,0,0,0,1,0,1,8,2,116,1,70,23,0,16,0,0,0,0,2,POINT (-79.409553 43.785882),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,580,5795 Yonge St UNIT 611,M2M4J3,43.784366,-79.415164,North York,535000,2 bds,2 ba,,0,1,1,0,43,1,8,4,0,6,0,0,0,0,0,0,1,6,2,84,1,58,19,0,13,0,0,0,0,2,0,1,9,2,124,1,85,26,0,18,0,0,0,0,2,POINT (-79.415164 43.784366),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,592,5949 Yonge St #803,M2M3V8,43.787691,-79.416986,North York,348800,1 bd,1 ba,,0,0,0,0,19,0,12,4,0,2,0,0,0,0,1,0,1,3,2,93,1,30,15,0,12,0,0,0,0,2,0,1,9,3,139,1,79,29,0,35,0,0,0,0,2,POINT (-79.416986 43.787691),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,851,105 - 39 Pemberton Ave,,43.781088,-79.412829,,624000,1,1,,0,1,0,0,37,1,28,10,0,8,0,0,0,0,1,0,1,6,1,80,1,66,18,0,13,0,0,0,0,1,0,2,11,3,110,1,82,29,1,21,0,0,0,0,2,POINT (-79.412829 43.781088),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook east,958,303 - 18 Pemberton Ave,,43.781492,-79.413051,,580000,2,1,,0,1,0,0,37,1,23,9,0,8,0,0,0,0,1,0,1,6,1,80,1,65,19,0,14,0,0,0,0,1,0,2,10,3,112,1,82,30,1,21,0,0,0,0,2,POINT (-79.413051 43.781492),2013,403,799,160,810,162,404,81,3465,4945,1580,1420,955,575,3630,5425,1690,1370,380,455
newtonbrook west,88,85 Drewry Ave,M2M1C9,43.78598,-79.421249,North York,2745000,2 bds,1 ba,,0,0,2,0,12,0,6,1,0,0,0,0,0,0,0,0,1,3,2,73,1,24,14,0,11,0,0,0,0,2,0,1,10,3,151,1,78,29,0,35,0,0,0,0,2,POINT (-79.421249 43.78598),1452,290,479,96,597,119,376,75,5275,8955,2530,1675,1070,445,5490,9855,2405,1500,415,315
newtonbrook west,90,66 Fontainbleau Dr,M2M1N9,43.793138,-79.432029,North York,999800,6 bds,4 ba,,0,0,2,2,13,1,5,0,0,1,0,0,0,0,0,0,0,2,2,35,1,7,0,0,2,0,0,0,0,0,0,0,7,5,92,1,22,10,0,24,0,0,0,0,0,POINT (-79.432029 43.793138),1452,290,479,96,597,119,376,75,5275,8955,2530,1675,1070,445,5490,9855,2405,1500,415,315
newtonbrook west,100,218 Pleasant Ave,M2M1M5,43.790667,-79.430102,North York,3490000,5 bds,7 ba,,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,2,44,1,7,1,0,14,0,0,0,0,0,0,0,6,4,96,1,31,14,0,24,0,0,0,0,1,POINT (-79.430102 43.790667),1452,290,479,96,597,119,376,75,5275,8955,2530,1675,1070,445,5490,9855,2405,1500,415,315
newtonbrook west,238,27 Devondale Ave,M2R2C9,43.777838,-79.435334,North York,2388000,4bds,4ba,,0,0,1,0,11,0,0,1,0,1,0,0,0,0,0,0,0,5,0,44,0,1,2,0,4,0,0,0,0,0,0,0,12,0,77,0,1,5,0,4,0,0,0,0,0,POINT (-79.435334 43.777838),1452,290,479,96,597,119,376,75,5275,8955,2530,1675,1070,445,5490,9855,2405,1500,415,315
