,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
34,34,1918 - 155 yorkville ave,annex,43.670312,-79.394299,959000,2,2,POINT (629447.2455907115 4836508.927797659),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,87,352,714,20,53,13,1
35,35,2402 - 10 bellair st,annex,43.669886,-79.390982,9888000,3,3,POINT (629715.5735676552 4836466.796735466),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,146,406,787,23,95,23,5
36,36,51 harrison garden blvd #707,avondale,43.756666,-79.407784,498800,2,2,POINT (628175.8702226412 4846078.811506073),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,22,97,183,8,13,0,1
37,37,120 harrison garden blvd #2003,avondale,43.757733,-79.403149,788000,2,2,POINT (628546.7135493361 4846204.501996101),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,7,88,174,7,0,0,0
38,38,100 harrison garden blvd #l02,avondale,43.756982,-79.4044,599900,1,1,POINT (628447.6139060588 4846119.151096046),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,7,99,183,7,0,0,0
39,39,78 harrison garden blvd #2305,avondale,43.756049,-79.407113,978000,3,3,POINT (628231.2052484232 4846011.323148278),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,19,97,171,11,7,0,1
40,40,3 everson dr #637,avondale,43.756938,-79.406496,659000,3,2,POINT (628278.9759583519 4846111.015453697),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,17,93,181,9,7,0,1
41,41,33 sheppard ave e #1800,avondale,43.761229,-79.408934,575000,1,1,POINT (628073.5562354015 4846583.821996864),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,77,118,190,20,52,0,5
42,42,3 everson dr #528,avondale,43.756938,-79.406496,559000,1,1,POINT (628278.9759583519 4846111.015453697),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,17,93,181,9,7,0,1
43,43,511 - 3 everson dr,avondale,43.756938,-79.406496,729000,3,2,POINT (628278.9759583519 4846111.015453697),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,17,93,181,9,7,0,1
44,44,1803 - 100 harrison garden blvd,avondale,43.756982,-79.4044,799000,3,2,POINT (628447.6139060588 4846119.151096046),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,7,99,183,7,0,0,0
45,45,227 glendora ave,avondale,43.762254,-79.394945,1499000,4,2,POINT (629197.4111831903 4846719.39443134),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,11,54,105,3,7,0,1
46,46,637 - 3 everson dr,avondale,43.756938,-79.406496,649900,3,2,POINT (628278.9759583519 4846111.015453697),644,129,208,42,230,46,206,41,2600,3480,1630,1820,1370,620,2720,3975,1985,1875,475,485,9,avondale,1.031680804,10.66221253,17,93,181,9,7,0,1
47,47,160 the donway w #403,banbury-don mills,43.73383,-79.34844,424900,2,1,POINT (633003.7704516413 4843636.093058267),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,33,86,120,14,16,1,2
48,48,34 greengate rd,banbury-don mills,43.739958,-79.364228,7785000,7,7,POINT (631718.876881061 4844291.473299489),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,1,14,49,0,0,1,0
49,49,20 moccasin trl,banbury-don mills,43.731688,-79.339069,1498800,4,2,POINT (633763.2148207189 4843413.279124438),1627,325,549,110,743,149,335,67,4435,7505,3215,3135,2285,2140,4770,8625,3560,2960,1060,1730,110,banbury-don mills,10.04095421,1.493881925,8,72,114,6,0,2,0
