,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_counts,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
28,28,1077 marinaside cres #1106,downtown,49.273637,-123.116652,1130000,2,2,POINT (-2497318.09075001 6368298.601307366),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,41,278,869,10,26,3,2
29,29,1238 melville st #1205,downtown,49.288222,-123.125361,868800,2,2,POINT (-2496879.12465991 6370184.30213764),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,119,320,804,16,95,3,5
30,30,1159 main st #406,downtown,49.274261,-123.100494,839000,2,2,POINT (-2496196.224628719 6367623.178956845),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,57,219,459,39,18,0,0
31,31,1331 homer st #b1201,downtown,49.273879,-123.126066,799999,1,1,POINT (-2497929.326915513 6368754.031433598),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,101,314,708,23,74,0,4
32,32,1372 seymour st unit 2101,downtown,49.27459,-123.127563,1328000,2,2,POINT (-2497979.482654098 6368895.042516883),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,92,334,692,20,64,1,7
33,33,1281 cordova st w #3402,downtown,49.290102,-123.123203,6499000,3,3,POINT (-2496603.708035712 6370277.261403732),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,52,270,739,11,35,2,4
34,34,1188 quebec st #402,downtown,49.27411,-123.101233,999900,2,2,POINT (-2496256.094610394 6367641.57231797),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,44,235,471,30,14,0,0
35,35,1500 howe st #2201,downtown,49.274171,-123.132003,1358000,2,2,POINT (-2498305.032110312 6369055.521868126),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,48,232,533,7,38,1,2
36,36,1328 w pender st #2201,downtown,49.289067,-123.126664,1098000,2,2,POINT (-2496906.923831721 6370330.074285492),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,97,282,730,14,77,1,5
37,37,1415 georgia st w #2203,downtown,49.289455,-123.128288,1998000,2,2,POINT (-2496988.092542067 6370443.938724722),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,84,264,683,14,65,1,4
38,38,108 cordova st w #1401,downtown,49.282616,-123.107958,875000,1,1,POINT (-2496110.259137769 6368816.60213457),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,178,402,673,32,138,4,4
39,39,1333 georgia st w #809,downtown,49.28899,-123.127532,989900,2,2,POINT (-2496970.199426787 6370361.937485555),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,97,283,721,14,78,1,4
40,40,811 helmcken st #1903,downtown,49.279247,-123.125531,799800,2,2,POINT (-2497518.194560374 6369276.937659819),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,167,533,828,27,130,4,6
41,41,1128 quebec st #604,downtown,49.274651,-123.101142,1249000,2,2,POINT (-2496212.211237507 6367692.588172781),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,49,250,470,29,20,0,0
42,42,555 jervis st #2204,downtown,49.288547,-123.125844,928000,1,1,POINT (-2496888.606525168 6370239.537765898),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,111,298,771,15,89,2,5
43,43,1133 hornby st #809,downtown,49.279263,-123.127457,660000,2,1,POINT (-2497645.564433837 6369366.701808917),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,167,463,796,26,130,4,7
44,44,438 seymour st #1708,downtown,49.284416,-123.113932,739900,2,2,POINT (-2496382.948722739 6369273.387215676),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,213,531,808,50,145,13,5
45,45,66 cordova st w #1108,downtown,49.282561,-123.106278,539000,1,1,POINT (-2496002.02299704 6368734.163621391),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,161,355,655,29,125,4,3
46,46,1155 seymour st penthouse 2703,downtown,49.277451,-123.124318,2099000,2,2,POINT (-2497562.879205326 6369038.292747783),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,199,481,811,25,166,2,6
47,47,1550 coal harbour cay #l302,downtown,49.291479,-123.128047,3599000,4,3,POINT (-2496830.441306704 6370639.273897188),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,35,221,565,10,24,0,1
48,48,33 smithe st #802,downtown,49.274436,-123.11196,1449000,2,2,POINT (-2496949.136890409 6368165.440068777),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,16,271,818,2,13,1,0
49,49,1283 howe st #2009,downtown,49.277218,-123.128625,555000,1,1,POINT (-2497866.524360584 6369211.62476318),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,129,375,710,28,93,1,7
50,50,1492 hornby st,downtown,49.275736,-123.131665,1659000,3,3,POINT (-2498173.007149104 6369199.634700562),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,59,258,569,14,42,1,2
51,51,788 richards st #1108,downtown,49.280305,-123.117196,1190000,3,2,POINT (-2496888.144052711 6369003.478277469),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,194,627,911,31,142,14,7
52,52,128 cordova st w #706,downtown,49.282525,-123.107958,899900,2,2,POINT (-2496116.620660059 6368807.322065393),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,178,402,674,33,137,4,4
53,53,161 georgia st w #110,downtown,49.278805,-123.111556,1099000,2,2,POINT (-2496616.734195207 6368592.519290217),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,102,467,839,23,73,2,4
54,54,939 homer st #3401,downtown,49.278115,-123.119485,2499000,3,4,POINT (-2497193.996636684 6368884.872208919),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,182,543,937,21,149,6,6
55,55,55 cordova st e #315,downtown,49.282595,-123.102962,738000,1,1,POINT (-2495778.416241702 6368585.994638048),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,101,283,524,25,72,0,4
56,56,1189 melville st #2104,downtown,49.287784,-123.123458,827000,1,1,POINT (-2496782.835907799 6370052.578930545),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,122,402,867,24,89,3,6
57,57,277 thurlow st #2601,downtown,49.288884,-123.11914,9988000,3,4,POINT (-2496417.908658137 6369967.206212183),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,83,419,702,15,64,1,3
58,58,128 cordova st w #4004,downtown,49.282525,-123.107958,699000,1,1,POINT (-2496116.620660059 6368807.322065393),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,178,402,674,33,137,4,4
59,59,33 w pender st #504,downtown,49.281126,-123.106294,650000,1,1,POINT (-2496103.401600458 6368588.55313828),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,163,360,667,29,128,3,3
60,60,885 cambie st #2104,downtown,49.277518,-123.116547,2438000,3,3,POINT (-2497039.720019916 6368689.580607315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,117,522,912,18,87,7,5
61,61,1777 bayshore dr #1101,downtown,49.292959,-123.132023,2899900,3,3,POINT (-2496992.050149296 6370972.089247395),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,76,178,393,9,61,0,6
62,62,49 cordova st e,downtown,49.282152,-123.103059,1049000,1,2,POINT (-2495815.852135274 6368545.251958097),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,114,284,540,26,84,0,4
63,63,1188 richards st #402,downtown,49.27599,-123.123515,499900,1,1,POINT (-2497611.480781615 6368852.565875609),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,169,427,842,25,136,1,7
