Address,Price,Bedrooms,Bathrooms
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto
221 - 251 Jarvis St,"$488,000",Moss Park,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
Gph3 - 8 Widmer St,"$1,290,000",Waterfront Communities West,Toronto
161 August Avenue,"$1,279,000",Oakridge,Toronto
354 Ranee Ave,"$2,688,000",Yorkdale Glen Park,Toronto
7b Clintwood Gate,"$898,000",Parkwoods Donalda,Toronto
21 Treelawn Pkwy,"$1,398,000",Maple Leaf,Toronto
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto
1717 - 4725 Sheppard Ave E,"$417,171",Agincourt South Malvern West,Toronto
1222 - 75 Bamburgh Circ,"$615,000",Steeles,Toronto
1511 - 70 Temperance St,"$850,000",Bay Street Corridor,Toronto
3 Langevin Cres,"$1,267,800",Centennial Scarborough,Toronto
48 Westbrook Ave,"$1,099,000",Woodbine Lumsden,Toronto
408 - 155 Legion Rd N,"$550,000",Mimico,Toronto
1102 - 20 Laidlaw St,"$745,000",South Parkdale,Toronto
149 Sharpecroft Blvd,"$995,900",York University Heights,Toronto
37 Holley Ave,"$825,000",Weston,Toronto
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto
52 Acton Ave,"$1,449,900",Bathurst Manor,Toronto
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto
73 Pettibone Sq,"$898,000",L'amoreaux,Toronto
4011 - 395 Bloor St E,"$499,000",North St. Jamestown,Toronto
2410 - 5500 Yonge Street,"$888,000",Willowdale West,Toronto
622 - 859 The Queensway,"$699,000",Stonegate Queensway,Toronto
1906 - 55 East Liberty Street,"$950,000",Niagara,Toronto
Uph106 - 797 Don Mills Rd,"$569,999",Flemingdon Park,Toronto
5 - 205 Bonis Ave,"$899,900",Tam O'shanter Sullivan,Toronto
Ph17 - 2111 Lake Shore Blvd W,"$1,475,000",Mimico,Toronto
54 Flintridge Rd,"$988,000",Dorset Park,Toronto
86 Blossom Cres,"$799,999",Glenfield Jane Heights,Toronto
104 - 225 The Donway W,"$1,435,000",Banbury Don Mills,Toronto
405 - 2464 Weston Road,"$405,000",Weston,Toronto
40 Thorny Vine Way,"$715,000",Bayview Village,Toronto
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto
613 Old Weston Rd,"$1,088,000",Weston Pellam Park,Toronto
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto
169 Kennard Ave,"$1,649,900",Bathurst Manor,Toronto
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto
518 - 1060 Sheppard Ave W,"$670,000",York University Heights,Toronto
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto
48d Crawford St,"$979,000",Niagara,Toronto
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto
2114 - 158 Front Street,"$528,000",Moss Park,Toronto
2405 - 36 Zorra St,"$600,000",Islington City Centre West,Toronto
818 - 1 Bedford Rd,"$878,000",Yorkville,Toronto
69 Laing Street,"$1,075,000",Greenwood Coxwell,Toronto
919 - 38 Joe Shuster Way,"$399,990",South Parkdale,Toronto
303 - 18 Pemberton Ave,"$580,000",Newtonbrook East,Toronto
906 - 47 Mutual St,"$549,900",Church Yonge Corridor,Toronto
3909 - 11 Wellesley St W,"$724,900",Bay Street Corridor,Toronto
1401 - 55 Charles St E,"$799,000",Church Yonge Corridor,Toronto
425 Cranbrooke Avenue,"$2,695,000",Bedford Park Nortown,Toronto
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto
18 - 73 Driftwood Ave,"$618,000",Glenfield Jane Heights,Toronto
76 Dalegrove Cres,"$2,249,888",Eringate Centennial West Deane,Toronto
S319 - 120 Bayview Ave,"$468,000",Waterfront Communities East,Toronto
