Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto,2,2,Apt/Condo
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto,4,4,Townhouse
84 Pandora Circ,"$878,000",Woburn,Toronto,3,1,House
244 Gowan Avenue,"$1,145,000",Danforth Village East York,Toronto,3,1,House
137 Benleigh Drive,"$1,299,975",Woburn,Toronto,7,3,House
L06 - 73 Richmond St W,"$599,900",Bay Street Corridor,Toronto,0,1,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1,1,Apt/Condo
604 - 188 Cumberland St,"$1,200,000",Yorkville,Toronto,3,2,Apt/Condo
504 - 1103 Leslie Street,"$795,000",Banbury Don Mills,Toronto,3,2,Apt/Condo
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto,5,2,House
46 - 2012 Martin Grove Rd,"$709,000",West Humber Clairville,Toronto,4,2,Townhouse
Ph16 - 80 Vanauley St,"$679,000",Kensington Chinatown,Toronto,2,1,Apt/Condo
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto,3,1,Apt/Condo
6 Balfour Ave,"$999,000",East End Danforth,Toronto,3,3,House
23 Radwell Cres,"$1,180,000",Milliken,Toronto,5,4,House
58b Tecumseth St,"$1,288,800",Niagara,Toronto,3,3,Townhouse
1205 - 5795 Yonge St,"$799,000",Newtonbrook East,Toronto,2,2,Apt/Condo
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto,2,1,Apt/Condo
26 Breadner Dr,"$1,149,000",Willowridge Martingrove Richview,Toronto,4,2,House
203 Medland St,"$1,998,000",Junction Area,Toronto,4,6,House
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto,3,2,Apt/Condo
25 Windhill Cres,"$799,000",Humbermede,Toronto,4,3,House
1108 - 10 Torresdale Ave,"$918,000",Westminister Branson,Toronto,3,3,Apt/Condo
1171 Roselawn Ave,"$2,699,000",Briar Hill Belgravia,Toronto,3,1,House
801 - 8 Tippett Road,"$459,000",Clanton Park,Toronto,1,1,Apt/Condo
404 Horner Ave,"$1,499,900",Alderwood,Toronto,3,4,House
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto,2,1,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1,1,Apt/Condo
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto,3,1,Apt/Condo
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto,3,2,Apt/Condo
110 Allenby Ave,"$1,399,000",Elms Old Rexdale,Toronto,6,5,House
162 Abbeywood Tr,"$2,680,000",Banbury Don Mills,Toronto,4,4,House
71 Riverwood Pkwy,"$2,399,000",Stonegate Queensway,Toronto,5,3,House
48 Gondola Cres,"$888,000",Woburn,Toronto,4,2,House
108 - 37 Four Winds Dr,"$625,000",York University Heights,Toronto,3,2,Townhouse
3606 - 575 Bloor St E,"$578,000",Rosedale Moore Park,Toronto,1,1,Apt/Condo
1105 - 2067 Lake Shore Boulevard W,"$750,000",Mimico,Toronto,2,2,Apt/Condo
54-175 Trudelle Street,"$800,000",Eglinton East,Toronto,4,4,Townhouse
521 The Kingsway,"$2,438,000",Princess Rosethorn,Toronto,4,3,House
302 - 99 Foxbar Rd,"$1,479,000",Yonge St. Clair,Toronto,2,2,Apt/Condo
44 Ladysbridge Drive,"$795,900",Morningside,Toronto,3,2,House
3036 - 68 Corporate Drive,"$639,900",Woburn,Toronto,3,2,Apt/Condo
36 Ridge Road,"$779,000",Downsview Roding Cfb,Toronto,1,1,House
48 Dubray Ave,"$1,298,000",Downsview Roding Cfb,Toronto,3,3,House
512 - 55 East Liberty,"$799,000",Niagara,Toronto,2,2,Townhouse
Th1 - 220 George St,"$1,500,000",Moss Park,Toronto,3,3,Townhouse
1 - 130 Clinton St,"$998,000",Palmerston Little Italy,Toronto,3,2,Townhouse
293 Chaplin Cres,"$2,795,000",Forest Hill South,Toronto,5,4,House
96 King High Ave,"$1,599,900",Clanton Park,Toronto,7,5,House
1109 - 2645 Kipling Ave W,"$479,900",Mount Olive Silverstone Jamestown,Toronto,2,2,Apt/Condo
407 - 10 Meadowglen Pl,"$499,900",Woburn,Toronto,2,1,Apt/Condo
26 Dellbrook Crescent,"$1,100,000",Humber Summit,Toronto,4,2,House
716 - 20 Dean Park Road,"$614,900",Rouge,Toronto,2,2,Apt/Condo
10 Cedar Springs Grove,"$1,550,000",Bathurst Manor,Toronto,4,3,House
605 - 55 Delisle Ave,"$3,195,000",Yonge St. Clair,Toronto,3,3,Apt/Condo
82 Roseneath Gdns,"$999,000",Oakwood Vaughan,Toronto,4,2,House
7 Woodycrest Ave,"$1,388,000",Danforth,Toronto,5,3,House
50 St Andrews Boulevard,"$1,199,900",Kingsview Village The Westway,Toronto,4,2,House
114 - 371 Orton Park Rd,"$699,000",Morningside,Toronto,3,2,Townhouse
105 - 39 Pemberton Ave,"$624,000",Newtonbrook East,Toronto,1,1,Apt/Condo
32 Farley Cres,"$1,299,000",Willowridge Martingrove Richview,Toronto,4,3,House
31 Taunton Rd,"$1,100,000",Mount Pleasant East,Toronto,3,2,House
612 - 3237 Bayview Ave,"$619,000",Bayview Woods Steeles,Toronto,3,2,Apt/Condo
627 - 150 Logan Avenue,"$1,300,000",South Riverdale,Toronto,3,2,Apt/Condo
6 Neelands Cres,"$990,000",Morningside,Toronto,4,3,House
70 Watney Cres,"$975,000",Glenfield Jane Heights,Toronto,4,3,House
2 - 7 Warwick Ave,"$592,000",Humewood Cedarvale,Toronto,2,1,Apt/Condo
17 Chapais Cres,"$1,247,300",Centennial Scarborough,Toronto,4,3,House
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto,5,6,House
1004 - 10 Park Lawn Rd,"$689,999",Mimico,Toronto,2,2,Apt/Condo
939 - 18 Mondeo Dr,"$499,975",Dorset Park,Toronto,1,1,Apt/Condo
4308 - 8 Eglinton Ave E,"$758,000",Mount Pleasant West,Toronto,2,2,Apt/Condo
80 Shandon Drive,"$1,379,900",Wexford Maryvale,Toronto,7,4,House
8 Park Hill Road,"$1,698,000",Forest Hill North,Toronto,4,3,House
186 Silverthorn Ave,"$1,099,000",Weston Pellam Park,Toronto,3,3,House
1009 - 714 The West Mall W,"$573,900",Eringate Centennial West Deane,Toronto,3,2,Apt/Condo
1408 - 725 Don Mills Rd,"$299,000",Flemingdon Park,Toronto,1,1,Apt/Condo
1001 - 30 Old Mill Rd,"$2,995,000",Kingsway South,Toronto,3,3,Apt/Condo
1028 - 125 Omni Dr,"$438,000",Bendale,Toronto,1,1,Apt/Condo
3202 - 8 York St,"$1,098,000",Waterfront Communities West,Toronto,2,2,Apt/Condo
297 Bain Avenue,"$1,399,000",Blake Jones,Toronto,3,2,House
48 Ardgowan Cres,"$898,000",Agincourt North,Toronto,4,3,Townhouse
18 Epsom Ave,"$1,549,000",Woodbine Lumsden,Toronto,4,3,House
122 Barker Ave,"$1,349,000",Danforth Village East York,Toronto,3,3,House
1507 - 60 Pavane Linkway,"$400,000",Flemingdon Park,Toronto,2,1,Apt/Condo
316 - 60 Southport St,"$858,000",High Park Swansea,Toronto,3,2,Apt/Condo
413 - 835 St Clair Ave W,"$669,000",Wychwood,Toronto,1,1,Apt/Condo
11 Prince Rupert Ave,"$1,849,000",High Park North,Toronto,4,4,House
418 - 150 Sudbury St,"$599,900",Little Portugal,Toronto,2,1,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1,1,Apt/Condo
96 King High Ave,"$1,599,900",Clanton Park,Toronto,7,5,House
100 Roe Ave,"$3,188,800",Lawrence Park North,Toronto,5,5,House
