,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
51,120 Harrison Garden Blvd #2003,M2N,43.757733,-79.403149,Willowdale South,North York,788000,2 bds,2 ba,,0,1,0,5,39,0,16,9,0,18,0,0,0,0,0
52,21 Grand Magazine St #1907,M5V1B5,43.636466,-79.402056,CN Tower,Downtown Toronto,799900,2 bds,2 ba,,0,0,1,6,16,7,39,22,0,10,0,0,0,0,3
53,215 Fort York Blvd #301,M5V4A2,43.636466,-79.404588,CN Tower,Downtown Toronto,599900,2 bds,1 ba,,0,0,1,5,18,5,32,20,0,14,0,0,0,0,3
54,11 Beaumont Rd,M4W1V4,43.679924,-79.371459,Rosedale,Downtown Toronto,19995000,4 bds,4 ba,,0,1,2,0,33,0,0,1,0,0,0,0,0,0,0
55,5 Dewbourne Ave,M5P1Z1,43.699375,-79.420442,Forest Hill North,Central Toronto,14850000,6 bds,6 ba,,0,0,2,2,54,1,17,4,0,4,0,0,0,0,1
56,542 Delaware Ave N,M6H2V2,43.672077,-79.432791,Dovercourt Village,West Toronto,1199000,4 bds,2 ba,,0,0,4,1,63,2,21,7,0,9,0,0,0,0,0
57,16 Yonge St SUITE 4006,M5E2A3,43.64325,-79.3764,Berczy Park,Downtown Toronto,1649999,3 bds,2 ba,"1,266 sqft",0,3,0,11,52,27,117,85,0,135,0,0,0,0,11
58,185 Roehampton Ave #3201,M4P0C6,43.708956,-79.392982,Davisville North,Central Toronto,759000,2 bds,2 ba,,0,1,6,10,62,7,78,29,3,55,0,0,0,0,4
59,3845 Lake Shore Blvd W UNIT 1601,M8W4Y3,43.590672,-79.544208,Alderwood,Etobicoke,750000,3 bds,2 ba,,0,0,2,0,19,2,7,4,0,7,0,0,0,0,1
60,50 Lombard St #1903,M5C2X4,43.651856,-79.376003,St. James Town,Downtown Toronto,549000,1 bd,1 ba,,0,5,39,13,74,27,160,106,0,194,0,0,0,0,11
61,455 Wellington St W #509,M5V0V8,43.643152,-79.397171,CN Tower,Downtown Toronto,2250000,3 bds,3 ba,,0,0,4,13,12,19,141,52,0,68,0,0,0,0,7
62,87 Peter St UNIT 2915,M5V2G4,43.646776,-79.392435,CN Tower,Downtown Toronto,595000,1 bd,1 ba,,0,2,11,11,7,31,187,78,0,140,0,0,0,0,5
63,408 Browns Line E #308,M8W0C3,43.601488,-79.54545,Alderwood,Etobicoke,508000,1 bd,1 ba,,0,0,2,2,19,2,8,5,0,6,0,0,0,0,0
64,40 Homewood Ave #2803,M4Y2K2,43.664229,-79.375535,Church and Wellesley,Downtown Toronto,465000,1 bd,1 ba,,1,3,45,16,57,10,105,43,0,80,0,0,0,0,1
65,1150 Briar Hill Ave #306,M6B0A9,43.703091,-79.452004,Glencairn,North York,599000,3 bds,2 ba,,0,0,2,0,36,0,21,5,0,13,0,0,0,0,1
66,369 Albany Ave #5,M5R3E2,43.676334,-79.414275,The Annex,Central Toronto,889000,2 bds,1 ba,,0,2,8,1,53,1,26,11,0,15,0,0,0,0,0
67,38 Joe Shuster Way #106,M6K0A5,43.640417,-79.424649,Brockton,West Toronto,619900,2 bds,1 ba,,0,1,2,6,35,6,65,30,0,29,0,0,0,0,1
68,1926 Lake Shore Blvd W #1805,M6S1A1,43.635856,-79.467386,Runnymede,West Toronto,766900,2 bds,2 ba,,0,0,0,0,24,0,0,1,0,1,0,0,0,0,0
69,60 Town Centre Ct #306,M1P0B1,43.7734,-79.255862,Dorset Park,Scarborough,448800,1 bd,1 ba,,0,0,2,1,57,0,6,10,0,38,0,0,0,0,3
70,190 Borough Dr #302,M1P0B6,43.772874,-79.253995,Dorset Park,Scarborough,759900,3 bds,2 ba,,0,0,2,0,58,0,6,10,0,38,0,0,0,0,3
71,1400 Kingston Rd #501,M1N0C2,43.686959,-79.272431,Birch Cliff,Scarborough,679000,2 bds,2 ba,,0,0,0,0,34,4,6,2,0,1,0,0,0,0,0
72,102 George Henry Blvd #15,M2J1E7,43.77432,-79.348116,Fairview,North York,499999,3 bds,2 ba,,0,1,3,2,35,0,2,3,0,16,0,0,0,0,0
73,9 Valhalla Inn Rd #501,M9B0B2,43.639837,-79.559418,Cloverdale,Etobicoke,549000,2 bds,1 ba,,0,0,3,0,42,0,3,2,0,5,0,0,0,0,1
74,31 Twyford Rd,M9A1W3,43.665533,-79.539719,Islington Avenue,Etobicoke,6285000,5 bds,7 ba,,0,0,5,1,31,0,0,1,0,1,0,0,0,0,1
75,861 Sheppard Ave W #15,M3H2T5,43.752102,-79.453675,Bathurst Manor,North York,888000,2 bds,2 ba,,0,0,4,0,39,0,5,2,0,4,0,0,0,0,0
76,125 Western Battery Rd #2207,M6K3R8,43.639868,-79.416734,Brockton,West Toronto,895000,3 bds,2 ba,,0,1,2,5,32,6,56,30,0,30,0,0,0,0,1
77,3220 Sheppard Ave E #318,M1T0B7,43.777968,-79.312305,Clarks Corners,Scarborough,897880,2 bds,2 ba,,0,0,3,1,36,0,2,1,0,3,0,0,0,0,1
78,1 Oregon Trl,M9B1P4,43.639976,-79.552582,Cloverdale,Etobicoke,3489000,6 bds,6 ba,,0,0,4,0,24,1,1,2,0,5,0,0,0,0,2
79,111 Newton Dr,M2M2N2,43.794606,-79.410102,Newtonbrook,North York,2268000,7 bds,4 ba,,0,0,3,1,45,0,2,3,0,3,0,0,0,0,1
80,278 Bloor St E #905,M4W3M4,43.672265,-79.380454,Rosedale,Downtown Toronto,1525000,3 bds,2 ba,,1,3,16,12,63,9,84,41,0,61,0,0,0,0,1
81,30 Anglesey Blvd #G2,M9A3B5,43.663784,-79.522679,Islington Avenue,Etobicoke,1075000,2 bds,2 ba,,0,0,0,1,28,0,0,1,0,1,0,0,0,0,1
82,55 Stewart St UNIT 625,M5V2V1,43.643237,-79.401278,CN Tower,Downtown Toronto,625000,1 bd,1 ba,,0,0,5,10,13,14,121,45,0,45,0,0,0,0,5
83,2191 Yonge St #1708,M4S3H8,43.705666,-79.39739,Davisville,Central Toronto,888000,3 bds,2 ba,,0,2,6,11,78,10,71,32,3,63,0,0,0,0,5
84,271 Park Home Ave,M2R1A1,43.764323,-79.434004,Willowdale West,North York,1499000,4 bds,3 ba,,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0
85,1 King St W #2402,M5H1A1,43.648987,-79.37807,Adelaide,Downtown Toronto,339900,1 bd,1 ba,,0,7,20,13,67,33,187,126,0,227,0,0,0,0,11
86,34 Greengate Rd,M3B1E8,43.739958,-79.364228,Don Mills North,North York,7785000,7 bds,7 ba,,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0
87,10 Wilby Cres #1603,M9N0B6,43.697794,-79.512333,Weston,York,859000,3 bds,2 ba,,3,1,5,1,35,0,10,7,0,14,0,0,0,0,1
88,85 Drewry Ave,M2M1C9,43.78598,-79.421249,Newtonbrook,North York,2745000,2 bds,1 ba,,0,1,3,2,73,1,24,14,0,11,0,0,0,0,2
89,5 Whitehall Rd,M4W2C5,43.683971,-79.38242,Rosedale,Downtown Toronto,9488000,5 bds,8 ba,,0,1,3,0,27,0,2,0,0,0,0,0,0,0,0
90,66 Fontainbleau Dr,M2M1N9,43.793138,-79.432029,Newtonbrook,North York,999800,6 bds,4 ba,,0,0,2,2,35,1,7,0,0,2,0,0,0,0,0
91,57 Saint Joseph St #523,M5S0C5,43.665388,-79.388021,Harbord,Downtown Toronto,989000,3 bds,2 ba,,7,6,69,15,72,15,142,94,0,120,0,0,0,0,3
92,365 Beech Ave #219,M4E0C2,43.680037,-79.29045,The Beaches,East Toronto,999900,2 bds,2 ba,,0,0,9,1,32,3,25,11,0,9,0,0,0,0,1
93,80 Palace Pier Ct #101,M8V4C1,43.630714,-79.474027,Humber Bay Shores,Etobicoke,999000,2 bds,2 ba,,0,0,0,0,22,0,5,6,0,6,0,0,0,0,0
94,100 Harrison Garden Blvd #L02,M2N0C2,43.756982,-79.4044,Willowdale South,North York,599900,1 bd,1 ba,,0,1,0,5,40,0,17,10,0,26,0,0,0,0,0
95,70 Forest Manor Rd #3410,M2J0A9,43.689144,-79.404683,Fairview,North York,885000,2 bds,2 ba,,0,0,4,2,42,0,8,5,1,6,0,0,0,0,0
96,284 Ellis Ave,M6S2X2,43.645729,-79.472703,Runnymede,West Toronto,4250000,6 bds,7 ba,,0,1,1,1,35,3,16,5,0,11,0,0,0,0,1
97,86 17th St,M8V3K4,43.602095,-79.517563,Humber Bay Shores,Etobicoke,999999,4 bds,4 ba,,0,0,25,0,24,2,8,7,0,12,0,0,0,0,1
98,3 Dailing Gate,M1B1Z3,43.791382,-79.22969,Rouge,Scarborough,699000,4 bds,3 ba,,0,0,8,1,41,0,5,4,0,5,0,0,0,0,0
99,120 Parliament St PENTHOUSE 2404,M5A0N6,43.653856,-79.363933,Harbourfront,Downtown Toronto,1069000,3 bds,2 ba,,0,0,9,7,57,5,43,30,0,31,0,0,0,0,0
100,218 Pleasant Ave,M2M1M5,43.790667,-79.430102,Newtonbrook,North York,3490000,5 bds,7 ba,,0,0,5,2,44,1,7,1,0,14,0,0,0,0,0
101,210 Westmount Ave,M6E3M8,43.680554,-79.443098,Caledonia-Fairbanks,York,899000,4 bds,3 ba,,0,0,6,1,53,1,44,19,0,17,0,0,0,0,0
102,11 Carisbrooke Sq,M1B4M2,43.81623,-79.214484,Rouge,Scarborough,1325000,6 bds,5 ba,,0,0,6,2,35,0,0,0,0,0,0,0,0,0,0
103,2335 1/2 Gerrard St E,M4E2E6,43.685302,-79.293178,The Beaches,East Toronto,699900,3 bds,2 ba,,0,1,7,4,51,1,19,11,0,15,0,0,0,0,2
104,160 Flemington Rd #512,M6A0A9,43.723077,-79.448251,Lawrence Heights,North York,574900,2 bds,2 ba,,0,2,2,1,61,0,15,9,0,37,0,0,0,0,1
105,39 Bushell Ave,M4M3B8,43.671322,-79.334877,Studio District,East Toronto,1189000,4 bds,2 ba,,0,0,8,1,39,1,13,7,0,13,0,0,0,0,0
106,133 Westminster Ave,M6R1N6,43.646774,-79.450533,Parkdale,West Toronto,3129999,5 bds,5 ba,,0,0,5,5,13,4,30,15,0,17,0,0,0,0,2
107,11B Crawford St #11B,M6K3M3,43.640922,-79.413315,Brockton,West Toronto,999900,3 bds,3 ba,,0,1,2,4,32,7,65,35,0,24,0,0,0,0,2
108,86 Sloping Sky Mews #TOWNHOUSE 6,M5V0B3,43.636887,-79.403026,CN Tower,Downtown Toronto,1550000,4 bds,3 ba,,0,0,1,5,16,6,40,21,0,10,0,0,0,0,3
109,993 Queen St W #223,M6J1H2,43.644646,-79.415649,Little Portugal,West Toronto,999990,1 bd,1 ba,,0,0,5,4,23,9,88,37,0,35,0,0,0,0,1
110,32 Brookfield Rd,M2P1A9,43.741523,-79.400732,York Mills West,North York,5749000,4 bds,5 ba,,0,1,0,0,40,0,5,4,0,7,0,0,0,0,0
111,535 Brunswick Ave,M5R2Z6,43.673818,-79.410137,The Annex,Central Toronto,1729000,6 bds,3 ba,,0,3,11,3,47,4,60,13,0,21,0,0,0,0,1
112,88 Anthony Rd,M3K1B4,43.729155,-79.466301,CFB Toronto,North York,1198800,3 bds,3 ba,,0,0,7,0,34,0,11,5,0,6,0,0,0,0,0
113,36 Park Lawn Rd #203,M8V0E5,43.623467,-79.484321,Humber Bay Shores,Etobicoke,1299999,2 bds,3 ba,,0,0,2,1,29,0,15,10,0,14,0,0,0,0,0
114,82 Greensides Ave,M6G3P7,43.679843,-79.429992,Christie,Downtown Toronto,1399000,6 bds,3 ba,,0,0,4,1,39,2,39,14,0,11,0,0,0,0,1
115,259 Claremont St,M6J2N1,43.652938,-79.412094,Little Portugal,West Toronto,1299900,5 bds,4 ba,,1,0,9,2,17,13,101,42,0,50,0,0,0,0,1
116,570 Wellington St W #13A,M5V2X5,43.642841,-79.403108,CN Tower,Downtown Toronto,1300000,3 bds,2 ba,,0,0,4,8,16,12,109,43,0,43,0,0,0,0,5
117,51 Lady Bank Rd #501,M8Z0C9,43.624575,-79.511602,Kingsway Park South West,Etobicoke,1099999,3 bds,1 ba,,0,0,1,0,37,3,11,9,1,11,0,0,0,0,0
118,8 The Esplanade #1908,M5E0A6,43.646227,-79.376346,Berczy Park,Downtown Toronto,670000,2 bds,1 ba,,0,5,5,13,60,30,148,105,0,169,0,0,0,0,11
119,58 Lytton Blvd,M4R1L3,43.71588,-79.403981,North Toronto West,Central Toronto,3995000,7 bds,5 ba,,0,0,4,3,24,1,27,12,0,11,0,0,0,0,1
120,676 Richmond St W #106,M6J1C3,43.646269,-79.405919,Little Portugal,West Toronto,879000,1 bd,1 ba,,1,0,4,5,15,12,115,41,0,68,0,0,0,0,3
121,80 North Dr,M9A4R2,43.678079,-79.501451,Islington Avenue,Etobicoke,8500000,3 bds,5 ba,,0,0,1,1,32,0,3,1,1,3,0,0,0,0,0
122,8 Eglinton Ave E #1910,M4P0C1,43.707141,-79.397703,Davisville North,Central Toronto,569900,1 bd,1 ba,,0,1,6,10,65,9,69,32,3,60,0,0,0,0,4
123,2639 Lake Shore Blvd W,M8V1G5,43.603501,-79.492054,Humber Bay Shores,Etobicoke,5600000,7 bds,4 ba,,0,0,2,0,5,0,1,0,0,5,0,0,0,0,0
124,321 Concord Ave,M6H2P7,43.662575,-79.426988,Dovercourt Village,West Toronto,1199000,4 bds,2 ba,,0,3,3,1,45,8,51,19,0,23,0,0,0,0,2
125,11 Park Manor Dr,M9B5C1,43.650254,-79.557219,Cloverdale,Etobicoke,1699900,4 bds,3 ba,,0,0,1,0,28,0,2,1,0,5,0,0,0,0,0
126,38 Dan Leckie Way #2209,M5V2V6,43.637492,-79.398104,CN Tower,Downtown Toronto,689000,2 bds,1 ba,,0,0,2,7,12,6,53,25,0,18,0,0,0,0,3
127,65 Spring Garden Ave #1802,M2N6H9,43.764832,-79.409426,Willowdale South,North York,1498000,2 bds,2 ba,,0,2,2,7,35,0,33,18,1,35,0,0,0,0,1
128,83 Anthony Rd,M3K1B5,43.72897,-79.465612,CFB Toronto,North York,2400000,4 bds,5 ba,,0,0,7,0,34,0,11,5,0,6,0,0,0,0,0
129,31 Russell Hill Rd,M4V2S9,43.681167,-79.402842,Deer Park,Central Toronto,11500000,7 bds,9 ba,,0,1,6,3,49,1,8,6,1,5,0,0,0,0,0
130,3 Pemberton Ave #2106,M2M4M1,43.780486,-79.413866,Newtonbrook,North York,559000,1 bd,1 ba,,0,1,6,1,76,1,66,18,0,13,0,0,0,0,1
131,17 Regal Rd,M6H2J5,43.674962,-79.433701,Dovercourt Village,West Toronto,1219000,4 bds,2 ba,,0,0,6,0,61,5,33,12,0,12,0,0,0,0,0
132,60 Brian Harrison Way #302,M1P5J5,43.774024,-79.258007,Dorset Park,Scarborough,699900,3 bds,2 ba,,0,0,1,2,57,0,6,10,0,38,0,0,0,0,3
133,399 Lake Promenade,M8W1C3,43.586922,-79.539539,Alderwood,Etobicoke,3495000,4 bds,3 ba,,0,0,2,0,12,1,2,3,0,4,0,0,0,0,1
134,141 Eastwood Ave,M1N3H4,43.694987,-79.269234,Birch Cliff,Scarborough,799900,3 bds,2 ba,,0,0,1,0,56,4,8,1,0,1,0,0,0,0,0
135,19 Western Battery Rd #1803,M6K3N9,43.63957,-79.411329,Brockton,West Toronto,659900,2 bds,2 ba,,0,1,1,5,27,6,49,28,0,25,0,0,0,0,2
136,43 Rusholme Rd,M6J3H3,43.650755,-79.426961,Little Portugal,West Toronto,2899000,5 bds,4 ba,,0,0,8,6,24,8,73,24,0,35,0,0,0,0,2
137,6 Newmarket Ave,M4C1V7,43.689384,-79.307654,Woodbine Heights,East York,999000,2 bds,2 ba,,0,3,4,0,55,2,11,7,0,7,0,0,0,0,1
138,7 Ashley Park Rd,M9A4C9,43.662619,-79.516617,Islington Avenue,Etobicoke,9495000,7 bds,7 ba,,0,0,1,1,22,0,1,2,0,5,0,0,0,0,1
139,54 Judy Sgro Ave,M3L0E4,43.727778,-79.523194,Downsview West,North York,868000,3 bds,3 ba,,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
140,50 Yorkville Ave #4403,M4W0A3,43.671667,-79.389667,Rosedale,Downtown Toronto,9975000,2 bds,3 ba,,0,4,43,10,71,12,109,59,0,63,0,0,0,0,2
141,100 Ardwold Gate,M5R2W2,43.680418,-79.409322,The Annex,Central Toronto,11288000,5 bds,7 ba,,0,2,5,3,49,1,17,10,0,13,0,0,0,0,0
142,111 Knowles Dr,M1X1T4,43.825488,-79.213639,Upper Rouge,Scarborough,1179000,4 bds,3 ba,,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0
143,231 Falstaff Ave,M6L2G6,43.718179,-79.490279,Downsview,North York,1999999,5 bds,5 ba,,1,0,5,0,19,0,2,2,1,1,0,0,0,0,0
144,50 Bruyeres Mews #718,M5V0H8,43.637658,-79.402351,CN Tower,Downtown Toronto,588000,2 bds,1 ba,,0,0,2,6,16,8,45,22,0,11,0,0,0,0,3
145,48 Lockwood Rd,M4L3M8,43.669468,-79.310099,The Beaches West,East Toronto,1529000,4 bds,3 ba,,0,0,1,1,24,3,14,3,0,14,0,0,0,0,0
146,200 Manitoba St #210,M8Y3Y9,43.623676,-79.492078,Humber Bay,Etobicoke,789000,2 bds,2 ba,,0,1,4,0,30,1,15,3,0,10,0,0,0,0,0
147,1787 Saint Clair Ave W #917,M6N1H9,43.673553,-79.461868,The Junction North,York,759900,2 bds,2 ba,,0,0,2,2,42,3,28,11,0,15,0,0,0,0,1
148,84 Chad Cres,M1B2Z6,43.814889,-79.209796,Rouge,Scarborough,1079000,4 bds,3 ba,,0,0,7,2,42,0,0,0,0,0,0,0,0,0,0
149,176 Castlefield Ave,M4R1G7,43.710283,-79.40786,North Toronto West,Central Toronto,1719000,4 bds,2 ba,,0,0,4,3,33,3,32,12,0,11,0,0,0,0,1
150,42 Fishleigh Dr,M1N1H2,43.700556,-79.248654,Birch Cliff,Scarborough,2699900,6 bds,5 ba,,0,0,1,3,13,1,4,0,0,4,0,0,0,0,1
151,43 Florida Cres,M9M1P4,43.735016,-79.543367,Emery,North York,1388000,4 bds,3 ba,,0,0,3,0,18,0,3,1,0,1,0,0,0,0,0
152,34 Kippendavie Ave,M4L3R4,43.666604,-79.303104,The Beaches West,East Toronto,1769000,3 bds,2 ba,,0,0,1,3,18,3,21,5,0,14,0,0,0,0,0
