osm_id,code,fclass,name,type,geometry,Latitude,Longitude
61760233,1500,building,,hospital,"POLYGON ((-79.3878502 43.6620743, -79.387368 43.6621765, -79.387269 43.6621981, -79.3870391 43.6622482, -79.3869785 43.6622614, -79.3869214 43.662274, -79.3866321 43.6615616, -79.3869616 43.6614926, -79.387085 43.6614682, -79.3870964 43.6614978, -79.387433 43.6614269, -79.387427 43.6614119, -79.3875788 43.6613793, -79.3876218 43.6614943, -79.3875952 43.6614998, -79.3876248 43.6615773, -79.3876724 43.6615676, -79.3877006 43.6616443, -79.3877651 43.6616307, -79.3877951 43.6616244, -79.3878198 43.6616864, -79.3878501 43.6617626, -79.3877089 43.6617934, -79.3877106 43.6617975, -79.3877391 43.6617911, -79.3878502 43.6620743))",43.66182294,-79.38725379
66979644,1500,building,,hospital,"POLYGON ((-79.4484407 43.7723373, -79.4483907 43.7724099, -79.4479523 43.7724846, -79.4478934 43.772474, -79.4478375 43.7725273, -79.4477316 43.7725082, -79.4476904 43.7725551, -79.4473607 43.772423, -79.4473372 43.772455, -79.4472165 43.772406, -79.44724 43.772374, -79.447184 43.7723186, -79.447354 43.7720825, -79.4469248 43.7719092, -79.4467571 43.7719967, -79.4464951 43.7718859, -79.4467745 43.7715104, -79.4467274 43.7715019, -79.4470067 43.7711265, -79.4474247 43.7712564, -79.4475572 43.7713438, -79.4474131 43.7715443, -79.4474985 43.771587, -79.447669 43.7713459, -79.4477985 43.7713693, -79.4478691 43.7713096, -79.4481782 43.7714289, -79.4481047 43.7715335, -79.4482048 43.7715697, -79.4481401 43.7716486, -79.4480842 43.7716294, -79.4478901 43.7719025, -79.4481756 43.7720175, -79.4480845 43.772137, -79.4479726 43.7720986, -79.4479462 43.7721392, -79.4484407 43.7723373))",43.77184024,-79.44747693
115040395,1500,building,,hospital,"POLYGON ((-79.3747126 43.7186076, -79.3742782 43.718693, -79.3742526 43.7186287, -79.3740602 43.7186685, -79.3740732 43.7187062, -79.3735353 43.7188114, -79.3735194 43.718769, -79.3734847 43.7187756, -79.3734881 43.7187874, -79.3733226 43.7188193, -79.373293 43.7187523, -79.3732904 43.7186971, -79.3733294 43.7184789, -79.3738807 43.7183672, -79.3738508 43.7182845, -79.3738244 43.7182117, -79.3738885 43.7181994, -79.3738942 43.7181983, -79.3739557 43.7183566, -79.3741378 43.7183215, -79.3739893 43.7179409, -79.3739546 43.7179477, -79.3735464 43.7180258, -79.3735212 43.717957, -79.3739286 43.7178791, -79.3738678 43.7177181, -79.3740468 43.7176793, -79.3740549 43.7176999, -79.3743423 43.7176406, -79.3746034 43.7183246, -79.3746778 43.718519, -79.3747126 43.7186076))",43.71831566,-79.37406198
124408234,1500,building,Creche - Q Wing,hospital,"POLYGON ((-79.3722382 43.721322, -79.3721598 43.7213522, -79.3721498 43.7213561, -79.3721378 43.7213607, -79.3720626 43.7213897, -79.371788 43.7210179, -79.3719637 43.7209501, -79.3721829 43.721247, -79.3721882 43.7212543, -79.3722382 43.721322))",43.72116989,-79.37201311
163858438,1500,building,Wellspring Centre,hospital,"POLYGON ((-79.378445 43.72371, -79.378291 43.723742, -79.378275 43.723704, -79.378228 43.723714, -79.378189 43.723617, -79.378238 43.723607, -79.378222 43.723569, -79.378375 43.723537, -79.3784 43.723599, -79.378426 43.723594, -79.3784351 43.7236177, -79.378444 43.723641, -79.378419 43.723646, -79.3784238 43.7236578, -79.378445 43.72371))",43.72364191,-79.3783221
171259796,1500,building,,hospital,"POLYGON ((-79.509996 43.687872, -79.509962 43.687915, -79.509984 43.687924, -79.509961 43.687952, -79.50994 43.687943, -79.50991 43.687983, -79.509544 43.687833, -79.509644 43.687703, -79.509666 43.687701, -79.509799 43.687755, -79.50977 43.687792, -79.509817 43.687811, -79.509865 43.687749, -79.509933 43.687777, -79.509892 43.687829, -79.509996 43.687872))",43.68783991,-79.50977546
185734198,1500,building,R Wing,hospital,"POLYGON ((-79.3762468 43.7206502, -79.3761413 43.7206707, -79.3761363 43.7206573, -79.3760824 43.7206678, -79.3760859 43.7206772, -79.3759502 43.7207037, -79.3759522 43.720709, -79.3759175 43.7207158, -79.3759106 43.7206974, -79.3758339 43.7207124, -79.3758154 43.7206629, -79.3757843 43.7205797, -79.3761908 43.7205003, -79.3762468 43.7206502))",43.72061136,-79.37601742
2861046,1500,building,Runnymede Healthcare Centre,hospital,"POLYGON ((-79.4816693 43.664917, -79.4815326 43.6649466, -79.4815558 43.6650029, -79.4813742 43.6650422, -79.4813512 43.6649865, -79.4812527 43.6650079, -79.4811921 43.6648614, -79.4810971 43.664882, -79.4811238 43.6649465, -79.4809191 43.6649908, -79.4808893 43.6649186, -79.4807714 43.6649441, -79.4807397 43.6648704, -79.4807696 43.6648636, -79.4807409 43.664797, -79.4807116 43.6648036, -79.4806772 43.6647236, -79.4807142 43.6647153, -79.4806882 43.6646547, -79.4806582 43.6646615, -79.4806243 43.6645827, -79.4806653 43.6645735, -79.4806524 43.6645434, -79.4807308 43.6645258, -79.4807146 43.6644882, -79.4808262 43.6644631, -79.4808326 43.6644779, -79.4809848 43.6644436, -79.4810199 43.6645253, -79.4810846 43.664512, -79.4811548 43.6645233, -79.4812027 43.6645546, -79.4812953 43.6645333, -79.4812861 43.6645124, -79.481389 43.6644887, -79.4814018 43.664518, -79.4814374 43.6645099, -79.4814668 43.6645767, -79.4815145 43.6645657, -79.4815447 43.6646346, -79.4815214 43.664639, -79.4815487 43.6647053, -79.4815727 43.6647001, -79.4816044 43.6647767, -79.4815808 43.6647818, -79.4816092 43.6648505, -79.4816391 43.664844, -79.4816693 43.664917), (-79.4814857 43.6648492, -79.4814175 43.6646799, -79.4812576 43.6647166, -79.4812966 43.6648153, -79.4813298 43.6648195, -79.481359 43.6648435, -79.4813727 43.6648731, -79.4814857 43.6648492), (-79.4810077 43.6647178, -79.4809687 43.6646233, -79.4808147 43.6646586, -79.4808634 43.6647813, -79.4809083 43.6648137, -79.480998 43.6647926, -79.4809863 43.6647686, -79.4809882 43.664739, -79.4810077 43.6647178))",43.66473606,-79.48113762
220142984,1500,building,,hospital,"POLYGON ((-79.509077 43.688483, -79.508883 43.688414, -79.508732 43.688321, -79.508641 43.688398, -79.508521 43.688323, -79.508625 43.688232, -79.508813 43.688217, -79.509063 43.688371, -79.509077 43.688483))",43.68832997,-79.5088126
220142985,1500,building,,hospital,"POLYGON ((-79.508926 43.687807, -79.508815 43.687903, -79.508789 43.687887, -79.508749 43.687921, -79.508752 43.687944, -79.508781 43.687942, -79.508795 43.688051, -79.508763 43.688053, -79.508738 43.688076, -79.508741 43.688088, -79.5086 43.688099, -79.508596 43.688072, -79.508574 43.688073, -79.508525 43.688115, -79.50855 43.688131, -79.50844 43.688226, -79.508424 43.688216, -79.508346 43.688219, -79.508319 43.688243, -79.508161 43.688146, -79.508186 43.688124, -79.508178 43.688066, -79.508159 43.688055, -79.508269 43.687958, -79.508295 43.687975, -79.508318 43.687955, -79.508318 43.687937, -79.508288 43.687919, -79.508266 43.687938, -79.508135 43.687857, -79.50815 43.687844, -79.508146 43.687791, -79.50811 43.687769, -79.508246 43.687653, -79.508277 43.687672, -79.508354 43.687666, -79.508369 43.687655, -79.508501 43.687733, -79.508477 43.687755, -79.508504 43.687771, -79.508535 43.687767, -79.508557 43.687748, -79.508529 43.687731, -79.508641 43.687634, -79.508658 43.687645, -79.508739 43.68764, -79.508764 43.687618, -79.508924 43.687715, -79.508899 43.687736, -79.508907 43.687795, -79.508926 43.687807))",43.68790286,-79.50849731
