,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
173,290 Adelaide St W #2405,M5V1N1,43.647816,-79.391122,CN Tower,Downtown Toronto,988000,3 bds,2 ba,,6,9,45,28,62,46,432,220,0,348,0,0,0,0,15
174,78 Harrison Garden Blvd #2305,M2N7E2,43.756049,-79.407113,Willowdale South,North York,978000,3 bds,3 ba,,0,2,3,7,77,0,31,14,0,36,0,0,0,0,1
175,104 Natal Ave,M1N3V6,43.714075,-79.254723,Birch Cliff,Scarborough,1059000,3 bds,2 ba,,0,1,5,3,85,1,6,0,0,9,0,0,0,0,1
176,214 Antibes Dr,M2R3H8,43.781975,-79.448556,Willowdale West,North York,768000,4 bds,3 ba,,1,0,6,2,67,0,10,5,0,11,0,0,0,0,0
177,503 Beecroft Rd #515,M2N0A2,43.778232,-79.417772,Willowdale South,North York,648800,2 bds,1 ba,,0,2,13,2,111,1,84,29,1,22,0,0,0,0,2
178,163 Brickworks Ln,M6N5H8,43.675475,-79.468816,The Junction North,York,910000,3 bds,4 ba,,0,0,6,4,100,4,67,15,0,26,0,0,0,0,2
179,56 Amiens Rd,M1E3S8,43.776434,-79.188258,Guildwood,Scarborough,900000,4 bds,2 ba,,0,0,0,0,0,0,0,8,0,18,0,0,0,0,2
180,50 Ordnance St #1703,M6K0C9,43.639789,-79.409842,Brockton,West Toronto,549900,1 bd,1 ba,,0,1,7,11,47,13,139,67,0,63,0,0,0,0,5
181,140 Brookside Dr,M4E2M2,43.680619,-79.306407,The Beaches,East Toronto,999888,4 bds,3 ba,,0,3,11,4,81,5,34,14,0,15,0,0,0,0,2
182,130 River St #2806,M5A0R8,43.661484,-79.358579,Harbourfront,Downtown Toronto,429900,1 bd,2 ba,,2,0,14,11,55,9,90,38,0,27,0,0,0,0,0
183,2885 Bayview Ave UNIT 717,M2K0A3,43.768608,-79.388063,Bayview Village,North York,689000,2 bds,2 ba,,0,2,4,2,53,0,12,5,0,10,0,0,0,0,0
184,20 Gladstone Ave #417,M6J0E9,43.643481,-79.427721,Little Portugal,West Toronto,729000,2 bds,2 ba,,1,1,14,12,65,14,129,55,0,75,0,0,0,0,4
185,570 Oriole Pkwy,M4R2C2,43.705679,-79.406974,North Toronto West,Central Toronto,2395000,5 bds,4 ba,,0,2,10,9,104,9,81,36,1,54,0,0,0,0,5
186,23 Radwell Cres,M1V2J4,43.81922,-79.289585,Agincourt North,Scarborough,899000,5 bds,4 ba,,0,1,19,0,61,0,25,0,0,0,0,0,0,0,0
187,1603 Eglinton Ave W #504,M6E0A1,43.697042,-79.443072,Caledonia-Fairbanks,York,768000,3 bds,2 ba,,0,2,10,2,94,1,37,15,0,30,0,0,0,0,2
189,48 Gondola Cres,M1G2J3,43.767244,-79.209421,Woburn,Scarborough,899000,4 bds,2 ba,,0,0,11,1,31,0,1,0,0,8,0,0,0,0,2
