Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
552,501 Pacific St #203,V6Z2X6,49.274344,-123.12714,Vancouver,899900.0,2 bds,1 ba,866 sqft,1,3,15,13,123,19,280,128,1,104,0,0,0,0,10,POINT (-123.12714 49.274344),Downtown,49367.0,9873.0,6539.0,1308.0,3466.0,693.0,39362.0,7872.0
553,1133 Keefer St,V6A1Z2,49.279386,-123.080493,Vancouver,1490000.0,5 bds,2 ba,"2,100 sqft",0,0,0,4,57,1,39,21,0,4,0,0,0,0,1,POINT (-123.080493 49.279386),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
554,1790 Angus Dr,V6J4H5,49.252859,-123.14417,Vancouver,13800000.0,7 bds,4 ba,"5,613 sqft",0,0,1,6,76,1,39,15,1,8,0,0,0,0,3,POINT (-123.14417 49.252859),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
555,3186 Grant St,V5K3H9,49.271081,-123.036832,Vancouver,1828000.0,4 bds,4 ba,"1,830 sqft",0,1,1,1,65,0,16,8,0,5,0,0,0,0,0,POINT (-123.036832 49.271081),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
556,2550 Garden Dr #111,V5N4X6,49.261596,-123.057753,Vancouver,594900.0,Studio,1 ba,425 sqft,0,4,0,2,61,1,36,11,0,19,0,0,0,0,3,POINT (-123.057753 49.261596),Kensington-Cedar Cottage,5970.0,1194.0,642.0,128.0,743.0,149.0,4585.0,917.0
557,2551 Triumph St,V5K1S7,49.284141,-123.053337,Vancouver,1479000.0,3 bds,4 ba,"1,238 sqft",0,0,0,1,47,3,34,15,0,9,0,0,0,0,1,POINT (-123.053337 49.284141),Hastings-Sunrise,4895.0,979.0,469.0,94.0,651.0,130.0,3775.0,755.0
558,1533 Balfour Ave,V6J2V1,49.252171,-123.139996,Vancouver,12980000.0,7 bds,9 ba,"11,543 sqft",0,0,1,2,73,0,33,13,0,10,0,0,0,0,2,POINT (-123.139996 49.252171),Shaughnessy,1410.0,282.0,89.0,18.0,373.0,75.0,948.0,190.0
559,4215 W 13th Ave #1,V6R2T7,49.261211,-123.200574,Vancouver,2499000.0,4 bds,4 ba,"1,905 sqft",0,0,1,0,39,0,14,4,0,4,0,0,0,0,2,POINT (-123.200574 49.261211),West Point Grey,1463.0,293.0,100.0,20.0,313.0,63.0,1050.0,210.0
560,2450 Cornwall Ave #205,V6K1B8,49.272411,-123.161207,Vancouver,949900.0,2 bds,2 ba,917 sqft,0,0,0,6,46,4,74,29,0,12,0,0,0,0,3,POINT (-123.161207 49.272411),Kitsilano,5811.0,1162.0,305.0,61.0,864.0,173.0,4642.0,928.0
561,5189 Gaston St #1303,V5R6C7,49.236997,-123.030296,Vancouver,599000.0,2 bds,2 ba,759 sqft,0,1,1,3,81,0,53,18,0,14,0,0,0,0,3,POINT (-123.030296 49.236997),Renfrew-Collingwood,10181.0,2036.0,662.0,132.0,714.0,143.0,8805.0,1761.0
562,548 Georgia St E #1,V6A1Z9,49.278177,-123.092362,Vancouver,799000.0,2 bds,2 ba,815 sqft,0,2,1,3,106,14,66,27,0,10,0,0,0,0,1,POINT (-123.092362 49.278177),Strathcona,12000.0,2400.0,2777.0,555.0,1155.0,231.0,8068.0,1614.0
563,156 W 62nd Ave,V5X2E1,49.213981,-123.109152,Vancouver,1999999.0,5 bds,3 ba,"2,656 sqft",0,1,0,2,39,1,8,7,1,8,0,0,0,0,2,POINT (-123.109152 49.213981),Marpole,4012.0,802.0,354.0,71.0,643.0,129.0,3015.0,603.0
564,464 E 12th Ave,V5T2H4,49.25948,-123.093791,Vancouver,1648000.0,5 bds,2 ba,"2,040 sqft",1,0,2,6,87,4,112,34,0,24,0,0,0,0,2,POINT (-123.093791 49.25948),Mount Pleasant,9598.0,1920.0,840.0,168.0,1257.0,251.0,7501.0,1500.0
565,2250 W 43rd Ave #203,V6M2E3,49.232514,-123.159518,Vancouver,468000.0,1 bd,1 ba,845 sqft,0,0,2,4,53,0,30,12,0,7,0,0,0,0,1,POINT (-123.159518 49.232514),Kerrisdale,1477.0,295.0,107.0,21.0,362.0,72.0,1008.0,202.0
566,2250 SE Marine Dr #202,V5P2S2,49.20747,-123.060625,Vancouver,897500.0,3 bds,2 ba,"1,238 sqft",0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,POINT (-123.060625 49.20747),Victoria-Fraserview,2680.0,536.0,260.0,52.0,272.0,54.0,2148.0,430.0
567,3368 Main St #203,V5V3M7,49.255195,-123.100884,Vancouver,1060000.0,3 bds,2 ba,"1,114 sqft",1,0,1,8,78,3,115,42,0,24,0,0,0,0,2,POINT (-123.100884 49.255195),Riley Park,3276.0,655.0,229.0,46.0,566.0,113.0,2481.0,496.0
568,1236 Bidwell St #1601,V6G2K9,49.285534,-123.140717,Vancouver,3585000.0,2 bds,3 ba,"1,855 sqft",0,0,1,9,51,6,143,43,0,36,0,0,0,0,7,POINT (-123.140717 49.285534),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
569,1568 Alberni St #2903,V6G1A5,49.289738,-123.131183,Vancouver,5500000.0,3 bds,3 ba,"2,066 sqft",0,1,9,15,98,13,258,98,0,72,0,0,0,0,11,POINT (-123.131183 49.289738),West End,13175.0,2635.0,2286.0,457.0,1146.0,229.0,9743.0,1949.0
570,1557 Mariner Walk,V6J4X9,49.27023,-123.139812,Vancouver,869000.0,1 bd,1 ba,965 sqft,0,0,3,7,82,6,117,55,2,40,0,0,0,0,4,POINT (-123.139812 49.27023),Fairview,7292.0,1458.0,456.0,91.0,1071.0,214.0,5765.0,1153.0
