Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
1527 Angus Dr, Vancouver,BC,V6J4H2,Canada,49.254874,-123.140051,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$8,890,000",5 bds,6 ba,"6,422 sqft"
788 W 19th Ave, Vancouver,BC,V5Z1X2,Canada,49.254059,-123.121662,V5Z,East Fairview / South Cambie,Vancouver,"C$3,879,000",4 bds,4 ba,"2,448 sqft"
2305 Turner St, Vancouver,BC,V5L2A6,Canada,49.279356,-123.057661,V5L,North Grandview- Woodland,Vancouver,"C$2,500,000",5 bds,2 ba,"2,051 sqft"
53 Hastings St W #503, Vancouver,BC,V6B1G4,Canada,49.282116,-123.106307,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$499,900",1 bd,1 ba,718 sqft
250 E 6th Ave #809, Vancouver,BC,V5T0B7,Canada,49.265226,-123.100379,V5T,East Mount Pleasant,Vancouver,"C$1,099,000",2 bds,2 ba,834 sqft
7021 Prescott St, Vancouver,BC,V6N1N2,Canada,49.222454,-123.177956,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$4,999,000",3 bds,3 ba,"2,614 sqft"
8083 Angus Dr, Vancouver,BC,V6P5K9,Canada,49.212693,-123.14893,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$10,888,000",4 bds,7 ba,"5,900 sqft"
4869 Lanark St, Vancouver,BC,V5N3S1,Canada,49.240711,-123.075322,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,598,000",3 bds,3 ba,"1,513 sqft"
1483 King Edward Ave E #1056, Vancouver,BC,V5N5Z3,Canada,49.249844,-123.138278,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$899,900",2 bds,2 ba,916 sqft
1270 Robson St #507, Vancouver,BC,V6E3Z6,Canada,49.286589,-123.128605,V6E,SE West End / Davie Village,Vancouver,"C$499,000",1 bd,1 ba,589 sqft
3625 Monmouth Ave, Vancouver,BC,V5R5S4,Canada,49.23952,-123.02554,V5R,South Renfrew- Collingwood,Vancouver,"C$1,698,000",4 bds,2 ba,"1,480 sqft"
560 Cardero St #603, Vancouver,BC,V6G3E9,Canada,49.291362,-123.128679,V6G,NW West End / Stanley Park,Vancouver,"C$1,050,000",1 bd,1ba,710 sqft
939 Homer St #2402, Vancouver,BC,V6B2W6,Canada,49.278115,-123.119485,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$698,000",2 bds,1 ba,770 sqft
