"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"L01 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,1,rooftop,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"319 2377 E 11th Avenue","Grandview East",Vancouver,BC,Canada,49.26103,-123.111724,0.7,nearest_rooftop_match,320,"W 11th Ave",,,Vancouver,BC,,V5Y,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"210 3198 Riverwalk Avenue","South Marine",Vancouver,BC,Canada,49.205405,-123.03914,0.9,nearest_rooftop_match,3198,"Riverwalk Ave",,,Vancouver,BC,,V5S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1573 W 66th Avenue","Southwest Marine",Vancouver,BC,Canada,49.211654,-123.142838,1,rooftop,1573,"W 66th Ave",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3290 Cypress Street",Shaughnessy,Vancouver,BC,Canada,49.256513,-123.148065,1,rooftop,3290,"Cypress St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"402 1012 Beach Avenue",Yaletown,Vancouver,BC,Canada,49.271591,-123.12802,0.68,nearest_rooftop_match,420,"Beach Cres",,,Vancouver,BC,,V6Z,CA,Province
"404 1790 Bayshore Drive","Coal Harbour",Vancouver,BC,Canada,49.292046,-123.13078,0.6,street_center,,"Bayshore Dr",,,Vancouver,BC,,V6G,CA,"CanVec+ by Natural Resources Canada"
"2 3260 Graveley Street",Renfrew,Vancouver,BC,Canada,49.270161,-123.034966,0.9,nearest_rooftop_match,3260,"Graveley St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"403 2377 E 11th Avenue","Grandview East",Vancouver,BC,Canada,49.260926,-123.095549,0.88,nearest_rooftop_match,425,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"106 2377 E 11th Avenue","Grandview East",Vancouver,BC,Canada,49.260868,-123.103296,0.88,nearest_rooftop_match,90,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"309 2377 E 11th Avenue","Grandview East",Vancouver,BC,Canada,49.260799,-123.09801,0.9,nearest_rooftop_match,306,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1188 W 55th Avenue","South Granville",Vancouver,BC,Canada,49.220119,-123.132186,1,rooftop,1188,"W 55th Ave",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1020 Wolfe Avenue",Shaughnessy,Vancouver,BC,Canada,49.25248,-123.128293,1,rooftop,1020,"Wolfe Ave",,,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"607 833 Seymour Street","Downtown West",Vancouver,BC,Canada,49.280497,-123.119756,0.9,nearest_rooftop_match,833,"Seymour St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"250 E 54th Avenue","South Vancouver",Vancouver,BC,Canada,49.220757,-123.100626,1,rooftop,250,"E 54th Ave",,,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2061 E 41st Avenue","Victoria East",Vancouver,BC,Canada,49.233173,-123.064297,1,rooftop,2061,"E 41st Ave",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1728 Cypress Street",Kitsilano,Vancouver,BC,Canada,49.270202,-123.148145,0.9,nearest_rooftop_match,1731,"Cypress St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2026 W 14th Avenue",Kitsilano,Vancouver,BC,Canada,49.258839,-123.151437,1,rooftop,2026,"W 14th Ave",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2453 W 10th Avenue",Kitsilano,Vancouver,BC,Canada,49.263248,-123.161373,0.9,nearest_rooftop_match,2455,"W 10th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1107 1068 Hornby Street","Downtown West",Vancouver,BC,Canada,49.279642,-123.125742,0.9,nearest_rooftop_match,1068,"Hornby St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"24 7565 Oak Street","South Granville",Vancouver,BC,Canada,50.57918,-126.921088,0.82,nearest_rooftop_match,58,"Oak Rd",,,"Alert Bay",BC,,V0N,CA,Province
