"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2107 - 1 Palace Pier Crt",Mimico,Toronto,ON,Canada,43.631482,-79.472638,0.8,nearest_rooftop_match,1,Palace,Pier,CRT,Etobicoke,ON,,M8V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2014 - 1001 Bay St","Bay Street Corridor",Toronto,ON,Canada,43.665465,-79.387068,0.9,nearest_rooftop_match,1001,"Bay St",,,Toronto,ON,,M5S,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"Th05 - 101 Erskine Ave","Mount Pleasant West",Toronto,ON,Canada,43.711659,-79.39535,1,rooftop,101,"Erskine Ave",,,Toronto,ON,,M4P,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"428 - 12 Douro Street",Niagara,Toronto,ON,Canada,43.640766,-79.412339,0.9,nearest_rooftop_match,12,"Douro St",,,Toronto,ON,,M6K,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"2201 - 70 Forest Manor Rd","Henry Farm",Toronto,ON,Canada,43.689144,-79.404683,0.8,nearest_rooftop_match,70,"Forest Hill Rd",,,Toronto,ON,,M4V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"121 - 7 Kenaston Gardens","Bayview Village",Toronto,ON,Canada,43.767167,-79.386112,0.75,range_interpolation,121,"Kenaston Gdns",,,"North York",ON,,M2K,CA,"CanVec+ by Natural Resources Canada"
"205 - 2550 Lawrence Ave E","Dorset Park",Toronto,ON,Canada,43.727297,-79.391084,0.9,nearest_rooftop_match,205,"Lawrence Ave E",,,Toronto,ON,,M4N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"1604 - 20 Edward St","Bay Street Corridor",Toronto,ON,Canada,43.657059,-79.382187,0.9,nearest_rooftop_match,20,"Edward St",,,Toronto,ON,,M5G,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"229 Craven Rd","Greenwood Coxwell",Toronto,ON,Canada,43.669466,-79.319759,1,rooftop,229,"Craven Rd",,,Toronto,ON,,M4L,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
"11 Ashton Manr","Stonegate Queensway",Toronto,ON,Canada,43.720735,-79.50042,1,rooftop,11,"Ashton Ave",,,"North York",ON,,M3M,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
