Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
110,32 Brookfield Rd,M2P1A9,43.741523,-79.400732,North York,5749000.0,4 bds,5 ba,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,POINT (-79.400732 43.741523),Bridle Path-Sunnybrook-York Mills,809.0,162.0,7.0,1.0,418.0,84.0,384.0,77.0
111,535 Brunswick Ave,M5R2Z6,43.673818,-79.410137,Central Toronto,1729000.0,6 bds,3 ba,,0,1,3,1,15,0,11,5,0,6,0,0,0,0,0,POINT (-79.410137 43.673818),Annex,3265.0,653.0,4.0,1.0,2074.0,415.0,1187.0,237.0
112,88 Anthony Rd,M3K1B4,43.729155,-79.466301,North York,1198800.0,3 bds,3 ba,,0,0,3,0,9,0,10,3,0,5,0,0,0,0,0,POINT (-79.466301 43.729155),Downsview,1835.0,367.0,12.0,2.0,947.0,189.0,876.0,175.0
113,36 Park Lawn Rd #203,M8V0E5,43.623467,-79.484321,Etobicoke,1299999.0,2 bds,3 ba,,0,0,0,1,9,0,2,3,0,2,0,0,0,0,0,POINT (-79.484321 43.623467),Humber Bay Shores,1174.0,235.0,7.0,1.0,708.0,142.0,459.0,92.0
114,82 Greensides Ave,M6G3P7,43.679843,-79.429992,Downtown Toronto,1399000.0,6 bds,3 ba,,0,0,2,0,1,2,19,6,0,6,0,0,0,0,0,POINT (-79.429992 43.679843),Wychwood,878.0,176.0,13.0,3.0,547.0,109.0,318.0,64.0
115,259 Claremont St,M6J2N1,43.652938,-79.412094,West Toronto,1299900.0,5 bds,4 ba,,0,0,2,0,0,6,37,7,0,8,0,0,0,0,0,POINT (-79.412094 43.652938),Trinity-Bellwoods,1246.0,249.0,5.0,1.0,857.0,171.0,384.0,77.0
116,570 Wellington St W #13A,M5V2X5,43.642841,-79.403108,Downtown Toronto,1300000.0,3 bds,2 ba,,0,0,1,2,5,6,30,14,0,8,0,0,0,0,2,POINT (-79.403108 43.642841),West Queen West,1250.0,250.0,6.0,1.0,884.0,177.0,360.0,72.0
117,51 Lady Bank Rd #501,M8Z0C9,43.624575,-79.511602,Etobicoke,1099999.0,3 bds,1 ba,,0,0,0,0,10,1,5,5,1,9,0,0,0,0,0,POINT (-79.511602 43.624575),Stonegate-Queensway,1946.0,389.0,8.0,2.0,888.0,178.0,1050.0,210.0
118,8 The Esplanade #1908,M5E0A6,43.646227,-79.376346,Downtown Toronto,670000.0,2 bds,1 ba,,0,3,0,3,28,16,47,25,0,38,0,0,0,0,4,POINT (-79.376346 43.646227),St Lawrence-East Bayfront-The Islands,3604.0,721.0,14.0,3.0,2578.0,516.0,1012.0,202.0
119,58 Lytton Blvd,M4R1L3,43.71588,-79.403981,Central Toronto,3995000.0,7 bds,5 ba,,0,0,0,0,3,0,4,4,0,4,0,0,0,0,1,POINT (-79.403981 43.71588),Lawrence Park South,1073.0,215.0,2.0,0.0,444.0,89.0,627.0,125.0
