"Street address",City,State,"Zip/Postal Code",Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3542 W 16th Ave"," Vancouver",BC,V6R3C1,Canada,49.257558,-123.183274,1,rooftop,3542,"W 16th Ave",,,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"275 E 65th Ave"," Vancouver",BC,V5X2P3,Canada,49.211978,-123.100764,1,rooftop,275,"E 65th Ave",,,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"183 Keefer Pl #1004"," Vancouver",BC,V6B6B9,Canada,49.280356,-123.10826,0.9,nearest_rooftop_match,181,"Keefer Pl",#,1004,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2889 E 1st Ave #215"," Vancouver",BC,V5M0G2,Canada,49.269961,-123.044686,1,rooftop,2889,"E 1st Ave",#,215,Vancouver,BC,,V5M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1372 Seymour St #2701"," Vancouver",BC,V6B0L1,Canada,49.27459,-123.127563,1,rooftop,1372,"Seymour St",#,2701,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"53 Hastings St W #306"," Vancouver",BC,V6B1G4,Canada,49.282116,-123.106307,0.9,rooftop,53,"W Hastings St",#,306,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"583 Beach Cres #3006"," Vancouver",BC,V6Z3E6,Canada,49.273589,-123.129221,1,rooftop,583,"Beach Cres",#,3006,Vancouver,BC,,V6Z,CA,Province
"2768 E 25th Ave"," Vancouver",BC,V5R1H7,Canada,49.247673,-123.047995,1,rooftop,2768,"E 25th Ave",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"845 W 67th Ave"," Vancouver",BC,V6P2S5,Canada,49.210871,-123.125486,0.9,nearest_rooftop_match,847,"W 67th Ave",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3290 Cypress St"," Vancouver",BC,V6J3N6,Canada,49.256513,-123.148065,1,rooftop,3290,"Cypress St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"885 Cambie St #2103"," Vancouver",BC,V6B0R6,Canada,49.277518,-123.116547,1,rooftop,885,"Cambie St",#,2103,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4900 Cartier St #306"," Vancouver",BC,V6M4H2,Canada,49.240721,-123.136482,1,rooftop,4900,"Cartier St",#,306,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
