Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
51,downtown,107,885 cambie st #2103,49.277518,-123.116547,POINT (-2497039.720019916 6368689.580607315),1838000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,117,522,912,18,87,7,5
52,downtown,114,128 cordova st w #303,49.282525,-123.107958,POINT (-2496116.620660059 6368807.322065393),785000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,178,402,674,33,137,4,4
53,downtown,115,1077 marinaside cres #1106,49.273637,-123.116652,POINT (-2497318.09075001 6368298.601307366),1130000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,41,278,869,10,26,3,2
54,downtown,119,1238 melville st #1205,49.288222,-123.125361,POINT (-2496879.12465991 6370184.30213764),868800,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,119,320,804,16,95,3,5
55,downtown,121,1159 main st #406,49.274261,-123.100494,POINT (-2496196.224628719 6367623.178956845),839000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,57,219,459,39,18,0,0
56,downtown,124,1331 homer st #b1201,49.273879,-123.126066,POINT (-2497929.326915513 6368754.031433598),799999,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,101,314,708,23,74,0,4
57,downtown,133,1372 seymour st unit 2101,49.27459,-123.127563,POINT (-2497979.482654098 6368895.042516883),1328000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,92,334,692,20,64,1,7
58,downtown,135,1281 cordova st w #3402,49.290102,-123.123203,POINT (-2496603.708035712 6370277.261403732),6499000,3,3,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,52,270,739,11,35,2,4
59,downtown,137,1188 quebec st #402,49.27411,-123.101233,POINT (-2496256.094610394 6367641.57231797),999900,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,44,235,471,30,14,0,0
60,downtown,138,1500 howe st #2201,49.274171,-123.132003,POINT (-2498305.032110312 6369055.521868126),1358000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,48,232,533,7,38,1,2
61,downtown,142,1328 w pender st #2201,49.289067,-123.126664,POINT (-2496906.923831721 6370330.074285492),1098000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,97,282,730,14,77,1,5
62,downtown,147,1415 georgia st w #2203,49.289455,-123.128288,POINT (-2496988.092542067 6370443.938724722),1998000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,84,264,683,14,65,1,4
63,downtown,149,108 cordova st w #1401,49.282616,-123.107958,POINT (-2496110.259137769 6368816.60213457),875000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,178,402,673,32,138,4,4
64,downtown,151,1333 georgia st w #809,49.28899,-123.127532,POINT (-2496970.199426787 6370361.937485555),989900,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,97,283,721,14,78,1,4
65,downtown,154,811 helmcken st #1903,49.279247,-123.125531,POINT (-2497518.194560374 6369276.937659819),799800,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,167,533,828,27,130,4,6
66,downtown,158,1128 quebec st #604,49.274651,-123.101142,POINT (-2496212.211237507 6367692.588172781),1249000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,49,250,470,29,20,0,0
67,downtown,160,555 jervis st #2204,49.288547,-123.125844,POINT (-2496888.606525168 6370239.537765898),928000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,111,298,771,15,89,2,5
68,downtown,163,1133 hornby st #809,49.279263,-123.127457,POINT (-2497645.564433837 6369366.701808917),660000,2,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,167,463,796,26,130,4,7
69,downtown,174,438 seymour st #1708,49.284416,-123.113932,POINT (-2496382.948722739 6369273.387215676),739900,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,213,531,808,50,145,13,5
70,downtown,176,66 cordova st w #1108,49.282561,-123.106278,POINT (-2496002.02299704 6368734.163621391),539000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,161,355,655,29,125,4,3
71,downtown,181,1155 seymour st penthouse 2703,49.277451,-123.124318,POINT (-2497562.879205326 6369038.292747783),2099000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,199,481,811,25,166,2,6
72,downtown,185,1550 coal harbour cay #l302,49.291479,-123.128047,POINT (-2496830.441306704 6370639.273897188),3599000,4,3,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,35,221,565,10,24,0,1
73,downtown,191,33 smithe st #802,49.274436,-123.11196,POINT (-2496949.136890409 6368165.440068777),1449000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,16,271,818,2,13,1,0
74,downtown,193,1283 howe st #2009,49.277218,-123.128625,POINT (-2497866.524360584 6369211.62476318),555000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,129,375,710,28,93,1,7
75,downtown,195,1492 hornby st,49.275736,-123.131665,POINT (-2498173.007149104 6369199.634700562),1659000,3,3,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,59,258,569,14,42,1,2
76,downtown,196,788 richards st #1108,49.280305,-123.117196,POINT (-2496888.144052711 6369003.478277469),1190000,3,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,194,627,911,31,142,14,7
77,downtown,204,128 cordova st w #706,49.282525,-123.107958,POINT (-2496116.620660059 6368807.322065393),899900,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,178,402,674,33,137,4,4
78,downtown,208,161 georgia st w #110,49.278805,-123.111556,POINT (-2496616.734195207 6368592.519290217),1099000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,102,467,839,23,73,2,4
79,downtown,209,939 homer st #3401,49.278115,-123.119485,POINT (-2497193.996636684 6368884.872208919),2499000,3,4,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,182,543,937,21,149,6,6
80,downtown,215,55 cordova st e #315,49.282595,-123.102962,POINT (-2495778.416241702 6368585.994638048),738000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,101,283,524,25,72,0,4
