Address,Price,Neighbourhood,City,Latitude,Longitude
208 Holmes Ave,"$3,350,000",Willowdale East,Toronto,43.781146,-79.399927
718 - 30 Meadowglen Pl,"$599,000",Woburn,Toronto,43.774774,-79.230498
Th5 - 118 Finch Avenue,"$899,000",Newtonbrook West,Toronto,43.833506,-79.1526
824 - 231 Fort York Blvd,"$619,000",Niagara,Toronto,43.636971,-79.406075
195 Brookdale Ave,"$1,995,000",Lawrence Park North,Toronto,43.728471,-79.409622
671a - 671 Browns Line,"$1,298,000",Alderwood,Toronto,43.59841,-79.543717
1517 - 87 Peter St,"$635,000",Waterfront Communities West,Toronto,43.646776,-79.392435
301 - 200 Manitoba Street,"$879,999",Mimico,Toronto,43.634873,-79.420868
1220 - 460 Adelaide Street E,"$499,900",Moss Park,Toronto,43.652787,-79.3668
301 - 1350 York Mills Rd,"$549,900",Parkwoods Donalda,Toronto,43.763222,-79.319141
501 Palmerston Boulevard,"$3,199,000",Palmerston Little Italy,Toronto,43.662755,-79.412626
3905 - 117 Mcmahon Drive,"$650,000",Bayview Village,Toronto,43.767209,-79.370405
Ph120 - 460 Adelaide St E,"$1,038,888",Moss Park,Toronto,43.652787,-79.3668
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto,43.631482,-79.472638
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto,43.665465,-79.387068
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto,43.711659,-79.39535
428 - 12 Douro Street,"$899,000",Niagara,Toronto,43.640766,-79.412339
2201 - 70 Forest Manor Rd,"$599,000",Henry Farm,Toronto,43.689144,-79.404683
121 - 7 Kenaston Gardens,"$598,999",Bayview Village,Toronto,43.767167,-79.386112
205 - 2550 Lawrence Ave E,"$589,000",Dorset Park,Toronto,43.727297,-79.391084
1604 - 20 Edward St,"$568,800",Bay Street Corridor,Toronto,43.657059,-79.382187
229 Craven Rd,"$989,000",Greenwood Coxwell,Toronto,43.669466,-79.319759
11 Ashton Manr,"$2,190,000",Stonegate Queensway,Toronto,43.720735,-79.50042
703 - 55 De Boers Dr,"$539,000",York University Heights,Toronto,43.75177,-79.463834
137 Benleigh Drive,"$1,299,975",Woburn,Toronto,43.762537,-79.238934
1304 - 330 Mccowan Rd,"$559,000",Eglinton East,Toronto,43.737512,-79.238359
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto,43.70416,-79.495728
321 - 451 The West Mall,"$585,000",Etobicoke West Mall,Toronto,43.645415,-79.387361
511 - 3 Everson Dr,"$729,000",Willowdale East,Toronto,43.756938,-79.406496
1202 Islington Ave,"$1,199,000",Islington City Centre West,Toronto,43.643159,-79.523086
4 Muskox Drive,"$1,410,000",Rouge,Toronto,43.81036,-79.18447
1233 - 15 Merchants' Wharf Road,"$999,000",Waterfront Communities East,Toronto,43.645111,-79.364299
703 - 355 Bedford Park Avenue,"$5,495,000",Bedford Park Nortown,Toronto,43.724197,-79.416891
8 Blakley Ave,"$949,800",Rockcliffe Smythe,Toronto,43.671695,-79.481214
414 - 15 Lower Jarvis St,"$525,000",Waterfront Communities East,Toronto,43.645272,-79.369349
4906 - 2191 Yonge St,"$1,290,000",Mount Pleasant West,Toronto,43.705666,-79.39739
203 - 195 Poplar Plains Rd,"$1,499,000",Casa Loma,Toronto,43.682361,-79.402109
708 - 168 King St E,"$695,000",Moss Park,Toronto,43.650812,-79.371199
810 - 38 Widmer St,"$588,000",Waterfront Communities West,Toronto,43.64818,-79.391974
2604 - 500 Sherbourne St,"$649,000",North St. Jamestown,Toronto,43.667976,-79.375573
411 - 188 Cumberland St,"$689,000",Yorkville,Toronto,43.669828,-79.394109
84 Pandora Circ,"$878,000",Woburn,Toronto,43.765568,-79.231436
244 Gowan Avenue,"$1,145,000",Danforth Village East York,Toronto,43.689592,-79.343813
L06 - 73 Richmond St W,"$599,900",Bay Street Corridor,Toronto,43.650733,-79.382286
604 - 188 Cumberland St,"$1,200,000",Yorkville,Toronto,43.669828,-79.394109
504 - 1103 Leslie Street,"$795,000",Banbury Don Mills,Toronto,43.720267,-79.347933
46 - 2012 Martin Grove Rd,"$709,000",West Humber Clairville,Toronto,43.741867,-79.594194
Ph16 - 80 Vanauley St,"$679,000",Kensington Chinatown,Toronto,43.649677,-79.399231
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto,43.625363,-79.478731
6 Balfour Ave,"$999,000",East End Danforth,Toronto,43.69059,-79.300945
23 Radwell Cres,"$1,180,000",Milliken,Toronto,43.81922,-79.289585
58b Tecumseth St,"$1,288,800",Niagara,Toronto,43.642555,-79.40522
1205 - 5795 Yonge St,"$799,000",Newtonbrook East,Toronto,43.681624,-79.391716
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto,43.650316,-79.360978
26 Breadner Dr,"$1,149,000",Willowridge Martingrove Richview,Toronto,43.6931,-79.560049
203 Medland St,"$1,998,000",Junction Area,Toronto,43.66441,-79.466577
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto,43.624631,-79.478535
25 Windhill Cres,"$799,000",Humbermede,Toronto,43.746687,-79.543139
1108 - 10 Torresdale Ave,"$918,000",Westminister Branson,Toronto,43.772736,-79.452183
1171 Roselawn Ave,"$2,699,000",Briar Hill Belgravia,Toronto,43.699345,-79.454393
801 - 8 Tippett Road,"$459,000",Clanton Park,Toronto,43.732384,-79.446637
404 Horner Ave,"$1,499,900",Alderwood,Toronto,43.604414,-79.534016
110 Allenby Ave,"$1,399,000",Elms Old Rexdale,Toronto,43.713629,-79.544542
162 Abbeywood Tr,"$2,680,000",Banbury Don Mills,Toronto,43.749649,-79.363305
71 Riverwood Pkwy,"$2,399,000",Stonegate Queensway,Toronto,43.64146,-79.493483
