Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
50 Ordnance St #1703, Toronto,ON,M6K0C9,"C$549,900",1 bd,1 ba,N/A
140 Brookside Dr, Toronto,ON,M4E2M2,"C$999,888",4 bds,3 ba,N/A
130 River St #2806, Toronto,ON,M5A0R8,"C$429,900",1 bd,2 ba,N/A
2885 Bayview Ave UNIT 717, Toronto,ON,M2K0A3,"C$689,000",2 bds,2 ba,N/A
20 Gladstone Ave #417, Toronto,ON,M6J0E9,"C$729,000",2 bds,2 ba,N/A
570 Oriole Pkwy, Toronto,ON,M4R2C2,"C$2,395,000",5 bds,4 ba,N/A
23 Radwell Cres, Toronto,ON,M1V2J4,"C$899,000",5 bds,4 ba,N/A
1603 Eglinton Ave W #504, Toronto,ON,M6E0A1,"C$768,000",3 bds,2 ba,N/A
801 Midland Ave, Toronto,ON,M1K4E8,C$1,4 bds,3 ba,N/A
48 Gondola Cres, Toronto,ON,M1G2J3,"C$899,000",4 bds,2 ba,N/A
314 Rosemary Rd, Toronto,ON,M5P3E3,"C$10,995,000",6 bds,9 ba,N/A
18 Oaken Gtwy #18, North York,ON,M2P2A1,"C$999,000",3 bds,2 ba,N/A
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,"C$799,900",2 bds,2 ba,N/A
88 Turtle Island Rd #5, Toronto,ON,M6A2M7,"C$899,500",3 bds,3 ba,N/A
2 Garden Cir, Toronto,ON,M4G2X8,"C$2,150,000",4 bds,2 ba,N/A
4978 Yonge St UNIT 1911, Toronto,ON,M2N7G8,"C$529,900",1 bd,1 ba,N/A
18 Earnbridge St, Toronto,ON,M6K1N3,"C$1,999,999",4 bds,4 ba,"2,148 sqft"
73 Maclean Ave, Toronto,ON,M4E2Z8,"C$2,349,000",5 bds,5 ba,N/A
3 Biggar Ave, Toronto,ON,M6H2N5,"C$1,795,000",5 bds,3 ba,N/A
455 Wellington St W #509, Toronto,ON,M5V0V8,"C$2,250,000",3 bds,3 ba,N/A
20 Fletcher Pl, Toronto,ON,M9R1K6,"C$899,000",3 bds,2 ba,N/A
20 Niagara St #PENTHOUSE 1, Toronto,ON,M5V3L8,"C$6,298,800",2 bds,3 ba,"4,022 sqft"
3 Dailing Gate, Toronto,ON,M1B1Z3,"C$699,000",4 bds,3 ba,N/A
474 Russell Hill Rd, Toronto,ON,M5P2S7,"C$16,895,000",5 bds,6 ba,N/A
1346 Danforth Rd #901, Toronto,ON,M1J0A9,"C$475,000",2 bds,1 ba,N/A
112 Laurel Ave, Toronto,ON,M1K3J9,"C$829,900",4 bds,2 ba,N/A
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,"C$498,800",2 bds,2 ba,N/A
20 Joe Shuster Way #202, Toronto,ON,M6K0A3,"C$399,000",1 bd,1 ba,N/A
11 Kingsway Cres, Toronto,ON,M8X2P9,"C$7,950,000",5 bds,7 ba,N/A
270 Brighton Ave, Toronto,ON,M3H4E9,"C$1,898,000",5 bds,3 ba,N/A
38 S Kingslea Dr, Toronto,ON,M8Y2A4,"C$5,000,000",5 bds,6 ba,N/A
63 Ward St, Toronto,ON,M6H4A5,"C$899,900",4 bds,2 ba,N/A
816 Lansdowne Ave #1015, Toronto,ON,M6H4K6,"C$580,000",1 bd,1 ba,N/A
80 Chiswell Cres, Toronto,ON,M2N6E1,"C$1,678,000",4 bds,4 ba,N/A
6 Esterbrooke Ave #82, Toronto,ON,M2J2C2,"C$579,000",2 bds,1 ba,N/A
160 Howland Ave, Toronto,ON,M5R3B6,"C$2,999,999",4 bds,4 ba,N/A
58 Marine Parade Dr #1110, Toronto,ON,M8V4G1,"C$1,110,000",3 bds,2 ba,"1,275 sqft"
223 Kennedy Rd, Toronto,ON,M1N3P4,"C$699,900",4 bds,3 ba,N/A
28A Wilberton Rd, Toronto,ON,M4V1Z3,"C$3,848,000",5 bds,5 ba,N/A
20 Stewart St #204, Toronto,ON,M5V1H6,"C$595,900",1 bd,1 ba,N/A
17 Maughan Cres, Toronto,ON,M4L3E4,"C$1,749,000",3 bds,3 ba,N/A
2 Sonic Way #1708, Toronto,ON,M3C0P2,"C$499,000",1 bd,1 ba,N/A
101 Clearbrooke Cir, Toronto,ON,M9W2E9,"C$998,800",4 bds,3 ba,N/A
85 The Bridle Path, Toronto,ON,M3C2P1,"C$28,900,000",9 bds,11 ba,N/A
85 Emmett Ave #1012, Toronto,ON,M6M5A2,"C$499,999",4 bds,2 ba,N/A
212 Saint Clair Ave W, Toronto,ON,M4V1R2,C$1,6 bds,6 ba,N/A
11 Thornwood Rd, Toronto,ON,M4W2R8,"C$20,000,000",5 bds,8 ba,N/A
472 Crawford St, Toronto,ON,M6G3J8,C$1,5 bds,3 ba,N/A
10 Blakley Ave, Toronto,ON,M6N3Y5,"C$548,000",3 bds,2 ba,N/A
17 Strath Humber Ct, Toronto,ON,M9A4C8,"C$2,289,000",6 bds,5 ba,N/A
7 Appleby Ct, Toronto,ON,M9B5A1,"C$16,900,000",7 bds,9 ba,N/A
18 Munro Park Ave, Toronto,ON,M4E3M3,"C$6,999,000",5 bds,5 ba,N/A
7 Brimley Rd S #D78, Toronto,ON,M1M3W3,"C$490,000",1 bd,2 ba,N/A
20/22 Park Lane Cir, Toronto,ON,M3B1Z7,"C$29,990,000",8bds,9ba,N/A
19 Country Ln, Toronto,ON,M2L1E1,"C$19,388,000",7bds,11ba,N/A
88 Forest Heights Blvd, Toronto,ON,M2L2K8,"C$29,800,000",8bds,11ba,N/A
45 Park Lane Cir, Toronto,ON,M3C2N3,"C$29,800,000",6bds,9ba,N/A
27 South Dr, Toronto,ON,M4W1R2,"C$20,800,000",6bds,9ba,N/A
17 Ardwold Gate, Toronto,ON,M5R2W1,"C$34,500,000",8bds,11ba,N/A
1150 Briar Hill Ave #306, Toronto,ON,M6B0A9,"C$599,000",3bds,2ba,N/A
36 Old Colony Rd, Toronto,ON,M2L2J8,"C$6,380,000",4bds,4ba,N/A
253 Dunvegan Rd, Toronto,ON,M5P2P5,"C$9,885,000",7bds,9ba,N/A
45 Bayview Rdg, Toronto,ON,M2L1E3,"C$22,500,000",8bds,10ba,N/A
112 Mason Blvd, Toronto,ON,M5M3E3,"C$4,249,990",4bds,4ba,N/A
220 Victoria St #806, Toronto,ON,M5B2R6,"C$599,000",3bds,2ba,N/A
27 Devondale Ave, Toronto,ON,M2R2C9,"C$2,388,000",4bds,4ba,N/A
45 Pegasus Trl, Toronto,ON,M1G3N6,"C$1,188,000",7bds,4ba,N/A
2335 1/2 Gerrard St E, Toronto,ON,M4E2E6,"C$699,900",3bds,2ba,N/A
73 Fishleigh Dr, Toronto,ON,M1N1H3,"C$2,580,000",5bds,2ba,N/A
1 Lake Shore Dr, Toronto,ON,M8V1Y9,"C$4,250,000",4bds,4ba,N/A
12 Gradwell Dr, Toronto,ON,M1M2M9,"C$2,750,000",5bds,4ba,N/A
79 John St, Toronto,ON,M9N1J6,"C$799,000",5bds,2ba,N/A
20 Moccasin Trl, Toronto,ON,M3C1Y7,"C$1,498,800",4bds,3ba,N/A
55 Lynnhaven Rd, Toronto,ON,M6A2K7,"C$3,269,999",6bds,7ba,N/A
129 Clansman Blvd, Toronto,ON,M2H1Y3,"C$1,399,900",4bds,4ba,N/A
62 Portico Dr, Toronto,ON,M1G3R6,"C$999,900",5bds,2ba,N/A
579 Indian Rd, Toronto,ON,M6P2C3,"C$2,999,999",9bds,5ba,N/A
6 Elward Blvd, Toronto,ON,M1L3L2,"C$569,900",3bds,2ba,N/A
483 Dupont St #103, Toronto,ON,M6G1Y6,"C$849,900",0bds,1ba,N/A
55 Regency Sq, Toronto,ON,M1E1N4,"C$1,299,000",5bds,2ba,N/A
30 High Point Rd, Toronto,ON,M3C2R3,"C$28,000,000",8bds,13ba,N/A
200 Murison Blvd UNIT 67, Toronto,ON,M1B3R9,"C$499,900",3bds,2ba,N/A
10 Greenyards Dr, Toronto,ON,M2M2R6,"C$1,799,000",5bds,3ba,N/A
23 Elba Ave, Toronto,ON,M1L4E9,"C$499,999",3bds,2ba,N/A
24 Sophia Dr, Toronto,ON,M1H1Z4,"C$799,000",3 bds,1 ba,N/A
1 Strathgowan Ave #403, Toronto,ON,M4N0B3,"C$1,700,000",2 bds,3 ba,N/A
501 Adelaide St W #909, Toronto,ON,M5V0R3,"C$539,900",1 bd,1 ba,N/A
15 Helmsdale Cres, Toronto,ON,M9V3X8,"C$1,199,900",7 bds,4 ba,N/A
55 Deanscroft Sq, Toronto,ON,M1E4W8,"C$875,000",4 bds,3 ba,N/A
191 Parkmount Rd, Toronto,ON,M4J4V5,"C$1,139,000",4 bds,4 ba,N/A
