OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1197,GO-20232737287,2023,8/27/2023 5:00:00 AM,0,2023,11/27/2023 5:00:00 AM,1435,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,173,North Toronto (173),104,Mount Pleasant West (104),NO
1198,GO-20232002537,2023,8/27/2023 5:00:00 AM,2208,2023,8/27/2023 5:00:00 AM,2208,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),NO
1199,GO-20232003749,2023,8/28/2023 5:00:00 AM,200,2023,8/28/2023 5:00:00 AM,215,D31,Public Transportation,NO,NO,Black,,,,,,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
1200,GO-20232016569,2023,8/28/2023 5:00:00 AM,2200,2023,8/29/2023 5:00:00 AM,1706,D55,Public Transportation,NO,NO,Black,,,,,,NO,Mischief Under $5000,066,Danforth (66),066,Danforth (66),NO
1201,GO-20232025430,2023,8/30/2023 5:00:00 AM,1607,2023,8/30/2023 5:00:00 AM,1607,D55,Public Transportation,NO,NO,White,,,,,,NO,Uttering Threats - Bodily Harm,066,Danforth (66),066,Danforth (66),YES
1202,GO-20232030918,2023,8/31/2023 5:00:00 AM,0,2023,8/31/2023 5:00:00 AM,957,D53,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,055,Thorncliffe Park (55),055,Thorncliffe Park (55),NO
1203,GO-20232055512,2023,9/2/2023 5:00:00 AM,2100,2023,9/3/2023 5:00:00 AM,809,D32,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,NO,"Mischief To Religious Property, Educational Institutions, Etc.",032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),YES
1204,GO-20232099596,2023,9/2/2023 5:00:00 AM,328,2023,9/8/2023 5:00:00 AM,1223,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO
1205,GO-20232052832,2023,9/2/2023 5:00:00 AM,2053,2023,9/2/2023 5:00:00 AM,2054,D31,Religious Place of Worship/Cultural Centre,NO,NO,Black,,,,,,NO,Uttering Threats - Bodily Harm,021,Humber Summit (21),021,Humber Summit (21),NO
1206,GO-20232057103,2023,9/3/2023 5:00:00 AM,1246,2023,9/3/2023 5:00:00 AM,1246,D22,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO
1207,GO-20232064337,2023,9/3/2023 5:00:00 AM,1,2023,9/4/2023 5:00:00 AM,1200,D22,"Open Area, Park or Parking Lot",NO,NO,,,,Muslim,,,NO,Mischief Under $5000,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),NO
1208,GO-20232059557,2023,9/3/2023 5:00:00 AM,1828,2023,9/3/2023 5:00:00 AM,1828,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,Jewish,,,YES,Mischief Under $5000,048,Hillcrest Village (48),048,Hillcrest Village (48),NO
1209,GO-20232087623,2023,9/6/2023 5:00:00 AM,2305,2023,9/7/2023 5:00:00 AM,110,D13,Streets/Roadways/Highway,NO,NO,,,,,2SLGBTQ+,,NO,Assault,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),NO
1210,GO-20239044162,2023,9/7/2023 5:00:00 AM,700,2023,9/7/2023 5:00:00 AM,1413,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,056,Leaside-Bennington (56),056,Leaside-Bennington (56),NO
1211,GO-20232229652,2023,9/7/2023 5:00:00 AM,1200,2023,9/24/2023 5:00:00 AM,1014,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,NO,Mischief Under $5000,079,University (79),079,University (79),NO
1212,GO-20232148398,2023,9/12/2023 5:00:00 AM,1530,2023,9/14/2023 5:00:00 AM,922,D14,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,NO,Criminal Harassment,079,University (79),079,University (79),NO
1213,GO-20232148038,2023,9/13/2023 5:00:00 AM,2300,2023,9/14/2023 5:00:00 AM,829,D53,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,056,Leaside-Bennington (56),056,Leaside-Bennington (56),NO
1214,GO-20232156154,2023,9/13/2023 5:00:00 AM,1500,2023,9/15/2023 5:00:00 AM,809,D43,Public Transportation,NO,NO,,Indian,,Muslim,,,YES,Assault,140,Guildwood (140),140,Guildwood (140),NO
1215,GO-20232183852,2023,9/15/2023 5:00:00 AM,2100,2023,9/18/2023 5:00:00 AM,1556,D42,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),NO
1216,GO-20232182758,2023,9/15/2023 5:00:00 AM,1530,2023,9/18/2023 5:00:00 AM,1434,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,102,Forest Hill North (102),102,Forest Hill North (102),NO
1217,GO-20232209275,2023,9/15/2023 5:00:00 AM,1330,2023,9/21/2023 5:00:00 AM,1719,D14,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,Arab,,Jewish,,,YES,Mischief Under $5000,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),NO
1218,GO-20232164582,2023,9/16/2023 5:00:00 AM,400,2023,9/16/2023 5:00:00 AM,451,D52,Streets/Roadways/Highway,NO,NO,,,,,Gay,,NO,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
1219,GO-20232173076,2023,9/16/2023 5:00:00 AM,2030,2023,9/17/2023 5:00:00 AM,822,D32,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),NO
1220,GO-20232173300,2023,9/17/2023 5:00:00 AM,300,2023,9/17/2023 5:00:00 AM,1334,D11,Public Transportation,NO,NO,Black,,,,,,NO,Mischief Under $5000,088,High Park North (88),088,High Park North (88),NO
1221,GO-20232173283,2023,9/17/2023 5:00:00 AM,907,2023,9/17/2023 5:00:00 AM,1023,D32,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO
1222,GO-20232185216,2023,9/18/2023 5:00:00 AM,1800,2023,9/18/2023 5:00:00 AM,1846,D53,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),NO
1223,GO-20232188804,2023,9/18/2023 5:00:00 AM,1900,2023,9/19/2023 5:00:00 AM,826,D13,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,NO,Disturbing Religious Worship Or Certain Meetings,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO
1224,GO-20232192629,2023,9/19/2023 5:00:00 AM,1644,2023,9/19/2023 5:00:00 AM,1644,D23,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,NSA,NSA,NSA,NSA,NO
1225,GO-20232200934,2023,9/20/2023 5:00:00 AM,1648,2023,9/20/2023 5:00:00 AM,1648,D32,Other Commercial / Corporate Places ,NO,NO,South Asian,,,,,,NO,Assault,037,Willowdale West (37),037,Willowdale West (37),NO
1226,GO-20232467584,2023,9/21/2023 5:00:00 AM,1200,2023,10/24/2023 5:00:00 AM,1056,D53,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Harassing Communications,095,Annex (95),095,Annex (95),NO
1227,GO-20232823864,2023,9/21/2023 5:00:00 AM,1135,2023,12/8/2023 5:00:00 AM,1031,D32,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,NO,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),NO
1228,GO-20232210966,2023,9/21/2023 5:00:00 AM,1900,2023,9/21/2023 5:00:00 AM,2132,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,,2SLGBTQ+,,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO
1229,GO-20232242852,2023,9/25/2023 5:00:00 AM,2350,2023,9/25/2023 5:00:00 AM,2351,D55,Streets/Roadways/Highway,NO,NO,,Pakistani,,,,,NO,Assault,066,Danforth (66),066,Danforth (66),YES
1230,GO-20232245879,2023,9/25/2023 5:00:00 AM,830,2023,9/26/2023 5:00:00 AM,1134,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,,2SLGBTQ+,,NO,Mischief Under $5000,055,Thorncliffe Park (55),055,Thorncliffe Park (55),NO
