,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
27,27,annex,517,91 bedford rd,43.671488,-79.398264,POINT (629125.0727837436 4836633.35817326),7888000,5,5,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,61,238,640,26,27,7,1
28,28,annex,595,68 yorkville ave #304,43.671482,-79.390514,POINT (629749.863721926 4836644.7860766),3750000,2,3,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,132,382,705,24,96,8,4
29,29,annex,620,77 mcmurrich st #308,43.674812,-79.39012,POINT (629774.4483959491 4837015.24410254),1295000,3,2,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,75,293,556,18,56,1,0
30,30,annex,677,128 hazelton ave #801,43.674903,-79.39488,POINT (629390.5393624066 4837017.913875157),8325000,3,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,26,228,569,14,10,1,1
31,31,annex,800,411 - 188 cumberland st,43.669828,-79.394109,POINT (629463.6037069715 4836455.469611403),689000,1,1,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,91,370,726,22,54,14,1
32,32,annex,805,604 - 188 cumberland st,43.669828,-79.394109,POINT (629463.6037069715 4836455.469611403),1200000,3,2,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,91,370,726,22,54,14,1
33,33,annex,955,818 - 1 bedford rd,43.668551,-79.397124,POINT (629223.2787674569 4836308.940118676),878000,2,1,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,91,335,799,24,34,31,2
34,34,annex,1055,1918 - 155 yorkville ave,43.670312,-79.394299,POINT (629447.2455907115 4836508.927797659),959000,2,2,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,87,352,714,20,53,13,1
35,35,annex,1107,2402 - 10 bellair st,43.669886,-79.390982,POINT (629715.5735676552 4836466.796735466),9888000,3,3,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,146,406,787,23,95,23,5
36,36,avondale,22,51 harrison garden blvd #707,43.756666,-79.407784,POINT (628175.8702226412 4846078.811506073),498800,2,2,644,129,3,1,284,57,357,71,2660,2955,1430,3150,1370,620,2870,3570,1645,2080,475,485,9,avondale,11,1.0316808044375865,10.662212529966158,16,1,9,3,22,97,183,8,13,0,1
