street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_1.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_1.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_1.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_1.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_1.5_values
1201 marinaside cres #1602,downtown,49.273129,-123.120638,1398000,2,2.0,point (-123.120638 49.273129),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,27,19,149,23,290,139,0,110,0,0,0,12
555 abbott st #312,downtown,49.280181,-123.108684,999000,3,1.0,point (-123.108684 49.280181),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,14,157,38,225,145,0,117,0,0,0,9
277 thurlow st #3001,downtown,49.288884,-123.11914,13800000,3,4.0,point (-123.11914 49.288884),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,29,10,120,25,245,154,0,104,0,0,0,9
168 powell st #515,downtown,49.282968,-123.100636,399888,1,1.0,point (-123.100636 49.282968),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,7,7,124,25,111,71,0,67,0,0,0,3
1288 marinaside cres #609,downtown,49.272079,-123.120377,1198000,2,2.0,point (-123.120377 49.272079),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,26,16,137,21,274,120,0,98,0,0,0,9
428 beach cres #2802,downtown,49.27233,-123.127311,7598000,3,4.0,point (-123.127311 49.27233),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,12,116,18,253,111,0,90,0,0,0,8
183 keefer pl #1004,downtown,49.280356,-123.10826,1100000,3,2.0,point (-123.10826 49.280356),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,12,160,38,215,140,0,115,0,0,0,8
1372 seymour st #2701,downtown,49.27459,-123.127563,1688000,2,2.0,point (-123.127563 49.27459),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,16,13,123,19,279,126,0,103,0,0,0,9
53 hastings st w #306,downtown,49.282116,-123.106307,499900,1,1.0,point (-123.106307 49.282116),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,21,11,157,33,196,126,0,102,0,0,0,8
583 beach cres #3006,downtown,49.273589,-123.129221,1599000,2,2.0,point (-123.129221 49.273589),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,11,13,110,19,252,107,0,89,0,0,0,7
885 cambie st #2103,downtown,49.277518,-123.116547,1838000,2,2.0,point (-123.116547 49.277518),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,29,18,164,38,309,185,0,148,0,0,0,11
128 cordova st w #303,downtown,49.282525,-123.107958,785000,2,2.0,point (-123.107958 49.282525),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,12,138,33,204,136,0,112,0,0,0,8
1077 marinaside cres #1106,downtown,49.273637,-123.116652,1130000,2,2.0,point (-123.116652 49.273637),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,10,31,18,162,32,291,166,0,146,0,0,0,12
1238 melville st #1205,downtown,49.288222,-123.125361,868800,2,2.0,point (-123.125361 49.288222),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,5,21,20,127,23,324,158,0,113,0,0,0,13
1159 main st #406,downtown,49.274261,-123.100494,839000,2,2.0,point (-123.100494 49.274261),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,4,9,137,29,146,73,0,54,0,0,0,4
