Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
811 Helmcken St #1903, Vancouver,BC,V6Z1B1,"C$799,800",2 bds,2 ba,846 sqft
1618 Grant St, Vancouver,BC,V5L2Y5,"C$1,499,000",3 bds,2 ba,"1,510 sqft"
2272 Dundas St #105, Vancouver,BC,V5L1J8,"C$639,900",2 bds,1 ba,678 sqft
5788 Vine St #206, Vancouver,BC,V6M4L8,"C$718,000",2 bds,1 ba,816 sqft
1128 Quebec St #604, Vancouver,BC,V6A4E1,"C$1,249,000",2 bds,2 ba,"1,167 sqft"
3240 Napier St, Vancouver,BC,V5K2X1,"C$2,250,000",6 bds,4 ba,"2,084 sqft"
555 Jervis St #2204, Vancouver,BC,V6E4N1,"C$928,000",1 bd,1 ba,590 sqft
3908 W 17th Ave, Vancouver,BC,V6S1A5,"C$4,198,000",5 bds,7 ba,"3,558 sqft"
2765 W 15th Ave, Vancouver,BC,V6K2Z7,"C$4,250,000",4 bds,6 ba,"2,891 sqft"
1133 Hornby St #809, Vancouver,BC,V6Z1W1,"C$660,000",2 bds,1 ba,610 sqft
4990 McGeer St #315, Vancouver,BC,V5R6C1,"C$515,000",1 bd,1 ba,627 sqft
1345 Comox St #204, Vancouver,BC,V6E4E4,"C$799,900",2 bds,2 ba,862 sqft
937 W 18th Ave, Vancouver,BC,V5Z1W4,"C$2,850,000",5 bds,3 ba,"2,469 sqft"
616 E 10th Ave, Vancouver,BC,V5T2A5,"C$1,950,000",5 bds,3 ba,"2,823 sqft"
2699 Duke St, Vancouver,BC,V5R4S8,"C$999,999",3 bds,2 ba,"1,199 sqft"
3457 Oxford St, Vancouver,BC,V5K1N8,"C$2,799,000",6 bds,5 ba,"3,196 sqft"
110 Switchmen St #1707, Vancouver,BC,V6A0C6,"C$1,098,000",2 bds,2 ba,865 sqft
2057 W 3rd Ave #PENTHOUSE 3, Vancouver,BC,V6J1L4,"C$848,000",2 bds,1 ba,711 sqft
1869 Spyglass Pl #213, Vancouver,BC,V5Z4K7,"C$1,222,000",2 bds,2 ba,"1,106 sqft"
474 E 43rd Ave #204, Vancouver,BC,V5W1T4,"C$429,000",1 bd,1 ba,603 sqft
438 Seymour St #1708, Vancouver,BC,V6B6H4,"C$739,900",2 bds,2 ba,710 sqft
2556 W 20th Ave, Vancouver,BC,V6L1G8,"C$4,290,000",6 bds,5 ba,"3,634 sqft"
66 Cordova St W #1108, Vancouver,BC,V6B0L2,"C$539,000",1 bd,1 ba,543 sqft
874 W 6th Ave #201, Vancouver,BC,V5Z1A6,"C$950,000",2 bds,2 ba,"1,025 sqft"
3126 E 17th Ave, Vancouver,BC,V5M2N7,"C$2,690,000",8 bds,6 ba,"2,627 sqft"
1596 W 14th Ave #1B, Vancouver,BC,V6J2H9,"C$12,875,000",3 bds,6 ba,"4,175 sqft"
4166 Crown Cres, Vancouver,BC,V6R2A9,"C$6,298,000",6 bds,6 ba,"5,048 sqft"
1155 Seymour St PENTHOUSE 2703, Vancouver,BC,V6B1K2,"C$2,099,000",2 bds,2 ba,"1,144 sqft"
3538 W 30th Ave, Vancouver,BC,V6S1W5,"C$5,498,000",5 bds,7 ba,"4,396 sqft"
2229 Oak St, Vancouver,BC,V6H3W6,"C$1,499,900",2 bds,2 ba,"1,419 sqft"
2638 W 22nd Ave, Vancouver,BC,V6L1M2,"C$5,780,000",4 bds,5 ba,"4,183 sqft"
