,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
41,1325 Rolston St #1513,V6B0M2,49.275617,-123.127925,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,633000.0,Studio,1 ba,461 sqft,0,0,1,5,26,4,39,17,0,15,0,0,0,0,2
42,63 Keefer Pl #502,V6B6N6,49.279933,-123.10662,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,970000.0,3 bds,2 ba,962 sqft,0,1,3,2,26,9,46,23,0,37,0,0,0,0,1
43,1189 Melville St #3404,V6E4T8,49.287784,-123.123458,SE West End / Davie Village,Vancouver,1650000.0,2 bds,3 ba,"1,414 sqft",0,1,3,3,23,1,51,26,0,11,0,0,0,0,3
44,86 Creelman Ave #2078,V6J1C3,49.274486,-123.14967,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,4999999.0,8 bds,4 ba,"5,840 sqft",0,0,0,0,4,0,7,5,0,5,0,0,0,0,0
45,3635 W 14th Ave,V6R2W6,49.26001,-123.184653,West Kitsilano / West Point Grey / Jericho,Vancouver,4880000.0,5 bds,6 ba,"3,604 sqft",0,0,0,0,16,1,10,1,0,4,0,0,0,0,1
46,2023 W 36th Ave,V6M1L1,49.23888,-123.152567,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,7500000.0,6 bds,8 ba,"4,810 sqft",0,0,1,0,9,0,6,1,0,0,0,0,0,0,0
47,1925 SW Marine Dr,V6P6B3,49.211681,-123.15033,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,7880000.0,5 bds,8 ba,"8,514 sqft",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
48,8588 Cornish St #1105,V6P0C1,49.208948,-123.141934,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,918888.0,2 bds,2 ba,"1,634 sqft",0,0,0,1,10,1,20,3,0,6,0,0,0,0,0
49,1499 W Pender St #1802,V6G2S3,49.289964,-123.128049,NW West End / Stanley Park,Vancouver,2798000.0,2 bds,3 ba,"1,578 sqft",0,0,0,0,12,2,35,16,0,5,0,0,0,0,3
50,1527 Angus Dr,V6J4H2,49.254874,-123.140051,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,8890000.0,5 bds,6 ba,"6,422 sqft",0,0,0,1,9,0,4,2,0,0,0,0,0,0,0
