Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
428 Beach Cres #2802,downtown,49.27233,-123.127311,7598000,3 bds,4 ba,"2,948 sqft",0,0,0,2,10,1,11,2,0,3,0,0,0,0,1,0,1,5,7,48,11,121,47,0,46,0,0,0,0,5,1,3,14,12,116,18,253,111,1,90,0,0,0,0,8,POINT (-123.127311 49.27233),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
183 Keefer Pl #1004,downtown,49.280356,-123.10826,1100000,3 bds,2 ba,"1,207 sqft",0,1,4,3,33,9,44,32,0,36,0,0,0,0,1,0,5,20,6,80,22,119,80,0,78,0,0,0,0,5,0,9,22,12,160,38,215,140,0,115,0,0,0,0,8,POINT (-123.10826 49.280356),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1372 Seymour St #2701,downtown,49.27459,-123.127563,1688000,2 bds,2 ba,"1,196 sqft",0,0,1,5,20,3,36,13,0,12,0,0,0,0,2,0,1,5,9,51,14,141,50,0,59,0,0,0,0,4,1,2,16,13,123,19,279,126,1,103,0,0,0,0,9,POINT (-123.127563 49.27459),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
53 Hastings St W #306,downtown,49.282116,-123.106307,499900,1 bd,1 ba,764 sqft,0,1,4,2,30,12,51,31,0,32,0,0,0,0,1,0,4,12,7,71,22,104,67,0,69,0,0,0,0,2,0,8,21,11,157,33,196,126,0,102,0,0,0,0,8,POINT (-123.106307 49.282116),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
583 Beach Cres #3006,downtown,49.273589,-123.129221,1599000,2 bds,2 ba,"1,065 sqft",0,0,1,3,11,2,14,7,0,5,0,0,0,0,2,0,1,4,7,51,12,120,43,0,53,0,0,0,0,5,1,2,11,13,110,19,252,107,1,89,0,0,0,0,7,POINT (-123.129221 49.273589),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
885 Cambie St #2103,downtown,49.277518,-123.116547,1838000,2 bds,2 ba,"1,008 sqft",0,0,7,3,18,2,51,18,0,16,0,0,0,0,2,0,6,19,9,93,18,171,104,0,97,0,0,0,0,5,0,9,29,18,164,38,309,185,1,148,0,0,0,0,11,POINT (-123.116547 49.277518),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
128 Cordova St W #303,downtown,49.282525,-123.107958,785000,2 bds,2 ba,"1,056 sqft",0,1,4,3,32,14,52,36,0,35,0,0,0,0,1,0,5,17,7,80,21,110,80,0,77,0,0,0,0,5,0,9,22,12,138,33,204,136,0,112,0,0,0,0,8,POINT (-123.107958 49.282525),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1077 Marinaside Cres #1106,downtown,49.273637,-123.116652,1130000,2 bds,2 ba,925 sqft,0,0,3,1,10,0,17,6,0,3,0,0,0,0,1,0,3,8,6,47,11,108,47,1,43,0,0,0,0,4,0,10,31,18,162,32,291,166,1,146,0,0,0,0,12,POINT (-123.116652 49.273637),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1238 Melville St #1205,downtown,49.288222,-123.125361,868800,2 bds,2 ba,896 sqft,0,0,3,2,16,1,57,27,0,10,0,0,0,0,3,0,2,8,6,53,9,136,68,0,33,0,0,0,0,5,0,5,21,20,127,23,324,158,0,113,0,0,0,0,13,POINT (-123.125361 49.288222),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1159 Main St #406,downtown,49.274261,-123.100494,839000,2 bds,2 ba,"1,106 sqft",0,2,0,0,37,4,6,5,0,3,0,0,0,0,0,0,2,1,4,84,13,59,24,0,30,0,0,0,0,2,0,3,4,9,137,29,146,73,0,54,0,0,0,0,4,POINT (-123.100494 49.274261),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
