Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
1728 Cypress Street,"$1,489,500",Kitsilano,Vancouver,2 bd,2,Townhouse
2026 W 14th Avenue,"$2,698,000",Kitsilano,Vancouver,3 bd,3,Duplex
2453 W 10th Avenue,"$3,498,000",Kitsilano,Vancouver,5 bd,4,Duplex
1107 1068 Hornby Street,"$629,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
24 7565 Oak Street,"$1,559,000",South Granville,Vancouver,3 bd,3,Townhouse
1290 E 48th Avenue,"$2,198,000",Knight,Vancouver,7 bd,4,House
6926 Tisdall Street,"$3,290,000",South Cambie,Vancouver,11 bd,4,House
208 633 W 16th Avenue,"$875,000",Fairview,Vancouver,2 bd,1,Apt/Condo
3812 W 15th Avenue,"$1,880,000",Point Grey,Vancouver,3 bd,3,Duplex
3814 W 15th Avenue,"$1,880,000",Point Grey,Vancouver,3 bd,3,Duplex
302 1080 Pacific Street,"$509,000",West End,Vancouver,1 bd,1,Apt/Condo
1110 W 15th Avenue,"$2,225,000",Fairview,Vancouver,3 bd,2,Duplex
1 3165 W 14th Avenue,"$3,099,000",Kitsilano,Vancouver,3 bd,4,Duplex
950 W 43rd Avenue,"$1,699,000",Oakridge,Vancouver,3 bd,4,Townhouse
4569 W 2nd Avenue,"$3,798,000",Point Grey,Vancouver,2 bd,2,House
2248 E 3rd Avenue,"$1,625,000",Grandview East,Vancouver,3 bd,3,House
1987 W 35th Avenue,"$6,888,000",Quilchena,Vancouver,6 bd,6,House
802 1565 W 6th Avenue,"$699,000",False Creek,Vancouver,1 bd,1,Apt/Condo
300 1055 Homer Street,"$1,538,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
3404 1335 Howe Street,"$2,439,900",Downtown West,Vancouver,2 bd,2,Apt/Condo
268 W 1st Avenue,"$774,900",False Creek,Vancouver,1 bd,1,Apt/Condo
1501 1483 Homer Street,"$1,789,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
1555 E 21st Avenue,"$1,538,000",Knight,Vancouver,3 bd,3,Duplex
1 2623 Triumph Street,"$1,638,000",Hastings Sunrise,Vancouver,3 bd,4,Duplex
2 2623 Triumph Street,"$1,698,000",Hastings Sunrise,Vancouver,3 bd,4,Duplex
1 3830 W 23rd Avenue,"$2,578,000",Dunbar,Vancouver,3 bd,4,Duplex
1801 1155 Seymour Street,"$657,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
402 1188 Quebec Street,"$999,900",Downtown East,Vancouver,2 bd,2,Apt/Condo
811 1325 Rolston Street,"$578,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
