Address,Price,Neighbourhood,City,Latitude,Longitude,Bedrooms,Bathrooms,Home Type
4444 W 2nd Avenue,"$3,998,000",Point Grey,Vancouver,49.270987,-123.207256,5 bd,4,House
1161 Keefer Street,"$2,399,000",Strathcona,Vancouver,49.279381,-123.079889,5 bd,5,Duplex
1504 1568 Alberni Street,"$2,388,000",West End,Vancouver,49.289738,-123.131183,2 bd,2,Apt/Condo
105 205 E 10th Avenue,"$625,000",Mount Pleasant East,Vancouver,49.262278,-123.100641,0 bd,1,Apt/Condo
1 39 W 22nd Avenue,"$2,489,000",Cambie,Vancouver,49.251232,-123.10594,3 bd,4,Duplex
2 39 W 22nd Avenue,"$2,489,000",Cambie,Vancouver,49.251232,-123.10594,3 bd,4,Duplex
1801 183 Keefer Place,"$799,000",Downtown West,Vancouver,49.279559,-123.106509,2 bd,1,Apt/Condo
5203 1480 Howe Street,"$5,988,000",Yaletown,Vancouver,49.274891,-123.131173,3 bd,3,Apt/Condo
2611 610 Granville Street,"$899,000",Downtown West,Vancouver,49.28312,-123.116554,2 bd,2,Apt/Condo
1688 W 61st Avenue,"$4,150,000",South Granville,Vancouver,49.2157,-123.145815,6 bd,6,House
402 4988 Cambie Street,"$799,900",Cambie,Vancouver,49.240173,-123.117258,1 bd,1,Apt/Condo
6908 Dawson Street,"$2,849,000",Killarney,Vancouver,49.221078,-123.048547,7 bd,4,House
607 5168 Cambie Street,"$1,149,900",Cambie,Vancouver,49.23884,-123.11579,1 bd,1,Apt/Condo
1506 1188 Howe Street,"$585,000",Downtown West,Vancouver,49.274171,-123.132003,1 bd,1,Apt/Condo
5306 Culloden Street,"$1,425,000",Knight,Vancouver,49.236371,-123.077923,2 bd,1,House
2 1322 13th Avenue,"$1,949,999",Grandview East,Vancouver,49.258966,-123.076979,4 bd,4,Duplex
1907 4815 Eldorado Mews,"$699,000",Collingwood,Vancouver,49.241221,-123.057581,2 bd,1,Apt/Condo
2033 E 35th Avenue,"$1,628,000",Victoria East,Vancouver,49.238349,-123.064563,4 bd,4,Duplex
2035 E 35th Avenue,"$1,699,000",Victoria East,Vancouver,49.238349,-123.064563,4 bd,4,Duplex
103 788 W 8th Avenue,"$1,448,000",Fairview,Vancouver,49.263975,-123.12148,2 bd,1,Apt/Condo
203 788 W 8th Avenue,"$2,264,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Apt/Condo
206 788 W 8th Avenue,"$2,292,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Apt/Condo
102 788 W 8th Avenue,"$1,736,000",Fairview,Vancouver,49.263975,-123.12148,2 bd,2,Apt/Condo
106 788 W 8th Avenue,"$1,320,000",Fairview,Vancouver,49.263975,-123.12148,1 bd,1,Apt/Condo
104 788 W 8th Avenue,"$1,228,000",Fairview,Vancouver,49.263975,-123.12148,1 bd,1,Apt/Condo
L03 788 W 8th Avenue,"$2,460,000",Fairview,Vancouver,49.263975,-123.12148,2 bd,2,Apt/Condo
207 788 W 8th Avenue,"$2,284,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Apt/Condo
902 1325 Rolston Street,"$799,000",Downtown West,Vancouver,49.275617,-123.127925,2 bd,1,Apt/Condo
807 518 Moberly Road,"$1,599,000",False Creek,Vancouver,49.267868,-123.116872,2 bd,2,Apt/Condo
